feature	n_pairs	statistic	p_value	p_adjust_bh	significant
Hs.100043_at	25	0.12185891813635336	0.56173223160995245	0.79573117999245147	false
Hs.100057_at	25	0.14739126288873214	0.48200495367895874	0.74924229289350064	false
Hs.100058_at	25	0.16286541122350714	0.43665651034106628	0.71876303665799679	false
Hs.100072_at	25	0.39497763624513255	0.050692738229976761	0.3398190669259577	false
Hs.100217_at	25	0.49478589300443149	0.01192079985070958	0.25326338476475796	false
Hs.100261_at	25	-0.13307767567906523	0.52598070446242429	0.7750542828251078	false
Hs.100299_at	25	-0.14932553143057903	0.47620918346952978	0.74542739564304927	false
Hs.100322_at	25	-0.01624785575151378	0.93855595970278805	0.97740484480278422	false
Hs.10041_at	25	0.22863054164630106	0.2716511694616926	0.59475905444737209	false
Hs.100426_at	25	0.57293034209504534	0.0027583282843707778	0.20819156753876733	false
Hs.100431_at	25	0.071567936048334502	0.73388968950989075	0.88659385620615416	false
Hs.1004_at	25	0.34816833753243814	0.08809149531038217	0.39977688773656028	false
Hs.10056_at	25	-0.29052713498540111	0.15887369564981732	0.48586552742747635	false
Hs.100686_at	25	0.57641202547036974	0.0025624276157702073	0.2049635826367269	false
Hs.100743_at	25	0.16209170380676841	0.43886787730523452	0.72039492867772004	false
Hs.10082_at	25	0.089363206633325795	0.67098803227719572	0.85636175221087407	false
Hs.100866_at	25	-0.3044538684866987	0.13894657763709309	0.46163005778916399	false
Hs.100874_at	25	-0.32650452986375306	0.11117032310056757	0.42848273697256573	false
Hs.100878_at	25	-0.10212937900951519	0.62712513713328499	0.83294465323001876	false
Hs.100890_at	25	0.10599791609320894	0.61406416792970364	0.82608994234284783	false
Hs.100912_at	25	-0.21470380814500351	0.30270923223085733	0.62129352438140695	false
Hs.100914_at	25	-0.4027147104125201	0.045943047421310272	0.33199887824796281	false
Hs.100915_at	25	0.54352946025897286	0.004982923409668865	0.23140120364114355	false
Hs.100921_at	25	-0.25919198460748172	0.21088841461722829	0.54205693256562448	false
Hs.10094_at	25	0.30793555186202304	0.13425890699239887	0.45686713147226982	false
Hs.10095_at	25	0.32882565211396936	0.10850429386041505	0.4266433035322274	false
Hs.101007_at	25	0.28665859790170739	0.16474984052755187	0.4930216944807958	false
Hs.101014_at	25	-0.46964040196042206	0.017852497523080428	0.27070928011181095	false
Hs.10101_at	25	0.46306388891814276	0.019748537304288299	0.27724834273767723	false
Hs.101120_at	25	0.20735358768598536	0.31995358947567226	0.63200592442966086	false
Hs.101139_at	25	-0.38453258611915941	0.057703389686136426	0.35181018971410905	false
Hs.101150_at	25	0.28395062194312176	0.16895290191076578	0.49780854295016796	false
Hs.101174_at	25	0.42669964033142133	0.033405354103684184	0.31078743945304327	false
Hs.1011_at	25	0.25919198460748172	0.21088841461722829	0.54205693256562448	false
Hs.101248_at	25	0.081239278757568895	0.69946719869832341	0.86960201549732108	false
Hs.1012_at	25	0.052998958046604469	0.80134669239472389	0.91856337671760613	false
Hs.101302_at	25	0.042167054212261947	0.84137898878166451	0.93493280704945081	false
Hs.101307_at	25	-0.13926733501297525	0.50673247696112722	0.7645925101419323	false
Hs.101337_at	25	0.086655230674740152	0.68043449098760989	0.86021555793452831	false
