probe_id	rho	p	q_BH
Hs.438265_at	0.895359	6.467714e-06	9.674625e-02
Hs.268849_at	-0.884528	1.194170e-05	9.674625e-02
Hs.632912_at	0.880918	1.445628e-05	9.674625e-02
Hs.334772_at	-0.873697	2.081531e-05	1.044773e-01
Hs.527061_at	0.859256	4.057095e-05	1.163633e-01
Hs.528432_at	0.859256	4.057095e-05	1.163633e-01
Hs.77695_at	-0.859256	4.057095e-05	1.163633e-01
Hs.372688_at	0.852036	5.514704e-05	1.230208e-01
Hs.35947_at	-0.852036	5.514704e-05	1.230208e-01
Hs.636206_at	0.848425	6.391497e-05	1.283221e-01
Hs.520120_at	0.841205	8.492061e-05	1.303446e-01
Hs.631627_at	0.841205	8.492061e-05	1.303446e-01
Hs.470217_at	0.837594	9.738356e-05	1.303446e-01
Hs.644922_at	-0.837594	9.738356e-05	1.303446e-01
Hs.530227_at	0.837594	9.738356e-05	1.303446e-01
Hs.498586_at	0.833984	1.113158e-04	1.396805e-01
Hs.155919_at	-0.830374	1.268489e-04	1.424619e-01
Hs.136280_at	0.826763	1.441223e-04	1.424619e-01
Hs.86092_at	0.826763	1.441223e-04	1.424619e-01
Hs.632344_at	-0.826763	1.441223e-04	1.424619e-01
Hs.143681_at	0.823153	1.632840e-04	1.424619e-01
Hs.86368_at	-0.819543	1.844901e-04	1.424619e-01
Hs.437846_at	0.819543	1.844901e-04	1.424619e-01
Hs.592769_at	0.819543	1.844901e-04	1.424619e-01
Hs.463320_at	0.819543	1.844901e-04	1.424619e-01
Hs.522818_at	0.819543	1.844901e-04	1.424619e-01
Hs.412707_at	-0.815932	2.079057e-04	1.439353e-01
Hs.436214_at	-0.815932	2.079057e-04	1.439353e-01
Hs.497123_at	0.815932	2.079057e-04	1.439353e-01
Hs.516173_at	-0.812322	2.337047e-04	1.460176e-01
Hs.537958_at	0.812322	2.337047e-04	1.460176e-01
Hs.336810_at	0.812322	2.337047e-04	1.460176e-01
Hs.591171_at	-0.808712	2.620701e-04	1.460176e-01
Hs.352253_at	0.808712	2.620701e-04	1.460176e-01
Hs.652292_at	0.808712	2.620701e-04	1.460176e-01
Hs.213603_at	0.808712	2.620701e-04	1.460176e-01
Hs.594095_at	0.805101	2.931944e-04	1.460176e-01
Hs.652138_at	0.805101	2.931944e-04	1.460176e-01
Hs.522433_at	0.805101	2.931944e-04	1.460176e-01
Hs.592123_at	0.805101	2.931944e-04	1.460176e-01
Hs.312485_at	0.801491	3.272795e-04	1.460176e-01
Hs.230601_at	-0.801491	3.272795e-04	1.460176e-01
Hs.520136_at	0.801491	3.272795e-04	1.460176e-01
Hs.591996_at	0.801491	3.272795e-04	1.460176e-01
Hs.498173_at	0.801491	3.272795e-04	1.460176e-01
Hs.24956_at	0.797881	3.645373e-04	1.524753e-01
Hs.103505_at	0.797881	3.645373e-04	1.524753e-01
Hs.207776_at	-0.797881	3.645373e-04	1.524753e-01
Hs.287759_at	0.794270	4.051894e-04	1.660202e-01
Hs.148078_at	0.790660	4.494677e-04	1.671104e-01
Hs.369932_at	-0.790660	4.494677e-04	1.671104e-01
Hs.421437_at	0.790660	4.494677e-04	1.671104e-01
Hs.121575_at	0.790660	4.494677e-04	1.671104e-01
Hs.597383_at	0.790660	4.494677e-04	1.671104e-01
Hs.481235_at	0.787050	4.976145e-04	1.784037e-01
Hs.2246_at	0.787050	4.976145e-04	1.784037e-01
Hs.380210_at	-0.783439	5.498824e-04	1.809834e-01
Hs.569843_at	0.783439	5.498824e-04	1.809834e-01
Hs.550_at	0.783439	5.498824e-04	1.809834e-01
Hs.98202_at	0.783439	5.498824e-04	1.809834e-01
Hs.379548_at	-0.783439	5.498824e-04	1.809834e-01
Hs.517610_at	0.779829	6.065347e-04	1.873446e-01
Hs.148951_at	0.779829	6.065347e-04	1.873446e-01
Hs.110062_at	0.779829	6.065347e-04	1.873446e-01
Hs.28144_at	0.779829	6.065347e-04	1.873446e-01
Hs.254560_at	0.776219	6.678457e-04	1.930155e-01
Hs.521251_at	0.776219	6.678457e-04	1.930155e-01
Hs.407621_at	0.776219	6.678457e-04	1.930155e-01
Hs.480055_at	0.776219	6.678457e-04	1.930155e-01
Hs.620884_at	-0.772608	7.341005e-04	1.930155e-01
Hs.88156_at	-0.772608	7.341005e-04	1.930155e-01
Hs.17589_at	0.772608	7.341005e-04	1.930155e-01
Hs.150136_at	0.772608	7.341005e-04	1.930155e-01
Hs.592213_at	0.768998	8.055952e-04	1.930155e-01
Hs.433668_at	-0.768998	8.055952e-04	1.930155e-01
Hs.369557_at	0.768998	8.055952e-04	1.930155e-01
Hs.591503_at	0.768998	8.055952e-04	1.930155e-01
Hs.35101_at	0.768998	8.055952e-04	1.930155e-01
Hs.12144_at	-0.768998	8.055952e-04	1.930155e-01
Hs.104320_at	-0.768998	8.055952e-04	1.930155e-01
Hs.134491_at	-0.768998	8.055952e-04	1.930155e-01
Hs.319481_at	0.768998	8.055952e-04	1.930155e-01
Hs.648990_at	0.768998	8.055952e-04	1.930155e-01
Hs.6764_at	0.765388	8.826374e-04	1.930155e-01
Hs.299567_at	0.765388	8.826374e-04	1.930155e-01
Hs.225936_at	0.765388	8.826374e-04	1.930155e-01
Hs.632365_at	0.765388	8.826374e-04	1.930155e-01
Hs.533657_at	-0.765388	8.826374e-04	1.930155e-01
Hs.348531_at	0.765388	8.826374e-04	1.930155e-01
Hs.516243_at	0.765388	8.826374e-04	1.930155e-01
Hs.202542_at	0.761778	9.655459e-04	1.930155e-01
Hs.75639_at	-0.761778	9.655459e-04	1.930155e-01
Hs.75061_at	0.761778	9.655459e-04	1.930155e-01
Hs.335413_at	0.761778	9.655459e-04	1.930155e-01
Hs.469022_at	-0.761778	9.655459e-04	1.930155e-01
Hs.429_at	-0.761778	9.655459e-04	1.930155e-01
Hs.491695_at	-0.761778	9.655459e-04	1.930155e-01
Hs.4029_at	-0.761778	9.655459e-04	1.930155e-01
Hs.436913_at	-0.761778	9.655459e-04	1.930155e-01
Hs.476218_at	0.758167	1.054651e-03	1.930155e-01
Hs.524788_at	0.758167	1.054651e-03	1.930155e-01
Hs.25010_at	-0.758167	1.054651e-03	1.930155e-01
Hs.531581_at	0.758167	1.054651e-03	1.930155e-01
Hs.590893_at	0.758167	1.054651e-03	1.930155e-01
Hs.43697_at	0.758167	1.054651e-03	1.930155e-01
Hs.291623_at	0.754557	1.150294e-03	1.930155e-01
Hs.645862_at	-0.754557	1.150294e-03	1.930155e-01
Hs.595477_at	0.754557	1.150294e-03	1.930155e-01
Hs.624346_at	0.754557	1.150294e-03	1.930155e-01
Hs.136885_at	-0.754557	1.150294e-03	1.930155e-01
Hs.137570_at	0.754557	1.150294e-03	1.930155e-01
Hs.139053_at	-0.754557	1.150294e-03	1.930155e-01
Hs.382874_at	0.750947	1.252830e-03	1.930155e-01
Hs.546554_at	0.750947	1.252830e-03	1.930155e-01
Hs.82098_at	-0.750947	1.252830e-03	1.930155e-01
Hs.474270_at	0.750947	1.252830e-03	1.930155e-01
Hs.46689_at	-0.750947	1.252830e-03	1.930155e-01
Hs.334936_at	-0.750947	1.252830e-03	1.930155e-01
Hs.368912_at	-0.750947	1.252830e-03	1.930155e-01
Hs.437156_at	0.750947	1.252830e-03	1.930155e-01
Hs.636838_at	0.750947	1.252830e-03	1.930155e-01
Hs.597961_at	-0.750947	1.252830e-03	1.930155e-01
Hs.15154_at	0.747336	1.362622e-03	1.930155e-01
Hs.518424_at	-0.747336	1.362622e-03	1.930155e-01
Hs.2159_at	0.747336	1.362622e-03	1.930155e-01
Hs.615178_at	-0.747336	1.362622e-03	1.930155e-01
Hs.495704_at	-0.747336	1.362622e-03	1.930155e-01
Hs.490454_at	-0.747336	1.362622e-03	1.930155e-01
Hs.145402_at	-0.747336	1.362622e-03	1.930155e-01
Hs.69771_at	0.747336	1.362622e-03	1.930155e-01
Hs.652304_at	-0.747336	1.362622e-03	1.930155e-01
Hs.632653_at	0.747336	1.362622e-03	1.930155e-01
Hs.51483_at	0.747336	1.362622e-03	1.930155e-01
Hs.502770_at	-0.747336	1.362622e-03	1.930155e-01
Hs.397153_at	0.747336	1.362622e-03	1.930155e-01
Hs.593997_at	0.747336	1.362622e-03	1.930155e-01
Hs.446164_at	-0.747336	1.362622e-03	1.930155e-01
Hs.438779_at	0.747336	1.362622e-03	1.930155e-01
Hs.55276_at	0.743726	1.480049e-03	1.930155e-01
Hs.591036_at	-0.743726	1.480049e-03	1.930155e-01
Hs.192477_at	0.743726	1.480049e-03	1.930155e-01
Hs.159509_at	0.743726	1.480049e-03	1.930155e-01
Hs.591159_at	0.743726	1.480049e-03	1.930155e-01
Hs.438862_at	0.743726	1.480049e-03	1.930155e-01
Hs.647081_at	0.743726	1.480049e-03	1.930155e-01
Hs.505662_at	0.743726	1.480049e-03	1.930155e-01
Hs.153521_at	0.740116	1.605498e-03	1.930155e-01
Hs.477159_at	-0.740116	1.605498e-03	1.930155e-01
Hs.643030_at	-0.740116	1.605498e-03	1.930155e-01
Hs.406106_at	-0.740116	1.605498e-03	1.930155e-01
Hs.604081_at	0.740116	1.605498e-03	1.930155e-01
Hs.454418_at	0.740116	1.605498e-03	1.930155e-01
Hs.604202_at	0.740116	1.605498e-03	1.930155e-01
Hs.512867_at	-0.740116	1.605498e-03	1.930155e-01
Hs.182231_at	0.740116	1.605498e-03	1.930155e-01
Hs.584739_at	-0.740116	1.605498e-03	1.930155e-01
Hs.631838_at	0.740116	1.605498e-03	1.930155e-01
Hs.606308_at	0.740116	1.605498e-03	1.930155e-01
Hs.592116_at	0.740116	1.605498e-03	1.930155e-01
Hs.533258_at	0.740116	1.605498e-03	1.930155e-01
Hs.469376_at	-0.740116	1.605498e-03	1.930155e-01
Hs.609179_at	-0.740116	1.605498e-03	1.930155e-01
Hs.491805_at	-0.740116	1.605498e-03	1.930155e-01
Hs.625674_at	0.740116	1.605498e-03	1.930155e-01
Hs.480452_at	-0.740116	1.605498e-03	1.930155e-01
Hs.614052_at	0.740116	1.605498e-03	1.930155e-01
Hs.7432_at	-0.740116	1.605498e-03	1.930155e-01
Hs.603683_at	0.736505	1.739372e-03	1.984169e-01
Hs.140443_at	-0.736505	1.739372e-03	1.984169e-01
Hs.512714_at	0.736505	1.739372e-03	1.984169e-01
Hs.445037_at	0.736505	1.739372e-03	1.984169e-01
Hs.348541_at	0.736505	1.739372e-03	1.984169e-01
Hs.473495_at	-0.736505	1.739372e-03	1.984169e-01
Hs.277101_at	0.736505	1.739372e-03	1.984169e-01
Hs.162717_at	0.736505	1.739372e-03	1.984169e-01
Hs.524214_at	0.736505	1.739372e-03	1.984169e-01
Hs.382856_at	0.732895	1.882082e-03	1.985746e-01
Hs.104570_at	0.732895	1.882082e-03	1.985746e-01
Hs.469060_at	-0.732895	1.882082e-03	1.985746e-01
Hs.632108_at	-0.732895	1.882082e-03	1.985746e-01
Hs.480400_at	-0.732895	1.882082e-03	1.985746e-01
Hs.515570_at	0.732895	1.882082e-03	1.985746e-01
Hs.97541_at	0.732895	1.882082e-03	1.985746e-01
Hs.21016_at	-0.732895	1.882082e-03	1.985746e-01
Hs.493516_at	-0.732895	1.882082e-03	1.985746e-01
Hs.434285_at	-0.732895	1.882082e-03	1.985746e-01
Hs.268788_at	0.732895	1.882082e-03	1.985746e-01
Hs.44402_at	-0.732895	1.882082e-03	1.985746e-01
Hs.362728_at	-0.732895	1.882082e-03	1.985746e-01
Hs.412294_at	0.729285	2.034054e-03	1.985746e-01
Hs.513134_at	0.729285	2.034054e-03	1.985746e-01
Hs.631709_at	0.729285	2.034054e-03	1.985746e-01
Hs.458345_at	0.729285	2.034054e-03	1.985746e-01
Hs.488478_at	-0.729285	2.034054e-03	1.985746e-01
Hs.198003_at	0.729285	2.034054e-03	1.985746e-01
Hs.652162_at	0.729285	2.034054e-03	1.985746e-01
Hs.31968_at	-0.729285	2.034054e-03	1.985746e-01
Hs.511668_at	-0.729285	2.034054e-03	1.985746e-01
Hs.433764_at	0.729285	2.034054e-03	1.985746e-01
Hs.120658_at	0.729285	2.034054e-03	1.985746e-01
Hs.436387_at	-0.729285	2.034054e-03	1.985746e-01
Hs.335057_at	-0.729285	2.034054e-03	1.985746e-01
Hs.481898_at	-0.729285	2.034054e-03	1.985746e-01
Hs.644788_at	-0.729285	2.034054e-03	1.985746e-01
Hs.596235_at	-0.725674	2.195725e-03	1.985746e-01
Hs.591873_at	-0.725674	2.195725e-03	1.985746e-01
Hs.558446_at	-0.725674	2.195725e-03	1.985746e-01
Hs.506748_at	0.725674	2.195725e-03	1.985746e-01
