repository	dataset_accession	relative_path	file_name	size_bytes	manifest_recorded	artifact_type	fetch_status	source	sha256	candidate_type	parser_support	suggested_parser	classification_reason
GEO	GSE125921	GSE125921/GSE125921_family.soft.gz	GSE125921_family.soft.gz	25717648	true	family_soft	success	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125921/soft/GSE125921_family.soft.gz	68c8a1d8e25acbc90bfd6b2c949f45afb4ed36d2b76fd337fa675ee7e27e3708	geo_family_soft	supported	geo_feature_verifier	GEO family SOFT files provide platform and feature annotation metadata.
GEO	GSE125921	GSE125921/GSE125921_series_matrix.txt.gz	GSE125921_series_matrix.txt.gz	6350460	true	series_matrix	success	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125921/matrix/GSE125921_series_matrix.txt.gz	ff40749ad6bdd628f6d41b8777517f9d774b8edfd172a47a290c84e9fce6e755	geo_series_matrix	supported	geo_matrix_parse_module	GEO series matrices are supported expression parser inputs.
GEO	GSE13485	GSE13485/GSE13485_family.soft	GSE13485_family.soft	45524602	false					unclassified	unsupported		No configured parser candidate rule matched.
GEO	GSE13485	GSE13485/GSE13485_family.soft.gz	GSE13485_family.soft.gz	16431424	true	family_soft	success	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13485/soft/GSE13485_family.soft.gz	a9474663ab362e6f1660aa128ae7c6f1bb650d26f5a31fa5ab2f018eafc9e4d7	geo_family_soft	supported	geo_feature_verifier	GEO family SOFT files provide platform and feature annotation metadata.
GEO	GSE13485	GSE13485/GSE13485_series_matrix.txt.gz	GSE13485_series_matrix.txt.gz	9627893	true	series_matrix	success	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13485/matrix/GSE13485_series_matrix.txt.gz	8399d88306b13d5a6f23cc5d4227c59da561fd9b97ab2840e22279d4046d546b	geo_series_matrix	supported	geo_matrix_parse_module	GEO series matrices are supported expression parser inputs.
GEO	GSE136163	GSE136163/GSE136163_family.soft.gz	GSE136163_family.soft.gz	69856219	true	family_soft	success	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136163/soft/GSE136163_family.soft.gz	570ed7248f7509f6c5c5d43d3d3a5dd4aeb5e524b724b63c4cf12d10c690bbd1	geo_family_soft	supported	geo_feature_verifier	GEO family SOFT files provide platform and feature annotation metadata.
GEO	GSE136163	GSE136163/GSE136163_series_matrix.txt.gz	GSE136163_series_matrix.txt.gz	29985491	true	series_matrix	success	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136163/matrix/GSE136163_series_matrix.txt.gz	c64467f5e2725be0ae3ddfcbd3cc6538e70d66b1ec928422e7d737898b10da81	geo_series_matrix	supported	geo_matrix_parse_module	GEO series matrices are supported expression parser inputs.
GEO	GSE13699	GSE13699/GSE13699-GPL6104_series_matrix.txt	GSE13699-GPL6104_series_matrix.txt	9126997	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
GEO	GSE13699	GSE13699/GSE13699-GPL6104_series_matrix.txt.gz	GSE13699-GPL6104_series_matrix.txt.gz	1666331	true	series_matrix	success	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13699/matrix/GSE13699-GPL6104_series_matrix.txt.gz	225186833a128ddb8f8a3641d847c36a83ee91ae25878bc13589029e1fbbe115	geo_series_matrix	supported	geo_matrix_parse_module	GEO series matrices are supported expression parser inputs.
GEO	GSE13699	GSE13699/GSE13699-GPL6883_series_matrix.txt.gz	GSE13699-GPL6883_series_matrix.txt.gz	227905	true	series_matrix	success	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13699/matrix/GSE13699-GPL6883_series_matrix.txt.gz	3319b4c0cdb2c6b4429166a31f8cba469d8f1f55010ba8e3e3ba57e875b436cf	geo_series_matrix	supported	geo_matrix_parse_module	GEO series matrices are supported expression parser inputs.
