probe_id,GSM3584982,GSM3584983,GSM3584984,GSM3584985,GSM3584986,GSM3584987,GSM3584988,GSM3584989,GSM3584990,GSM3584991,GSM3584992,GSM3584993,GSM3584994,GSM3584995,GSM3584996,GSM3584997,GSM3584998,GSM3584999,GSM3585000,GSM3585001,GSM3585002,GSM3585003,GSM3585004,GSM3585005,GSM3585006,GSM3585007,GSM3585008,GSM3585009,GSM3585010,GSM3585011,GSM3585012,GSM3585013,GSM3585014,GSM3585015,GSM3585016,GSM3585017
ILMN_1343291,14.48502643,14.31023676,14.17332904,14.18139317,13.85967816,14.19930781,14.02289219,14.03329329,14.3261028,14.15524318,13.85967816,13.60576316,14.19930781,13.79436894,13.70198611,13.79436894,13.43711464,13.95649201,13.49990816,13.95649201,14.18139317,13.93388865,13.77131595,13.75884386,13.66156135,13.71303414,14.14668649,13.67229056,14.08420379,14.21804688,13.85967816,13.78389619,13.79436894,13.56103883,13.5961346,13.44401975
ILMN_1343295,10.14037229,10.23458159,10.23073009,10.30536224,10.05363282,10.03056787,10.27269605,10.32352394,10.46379139,10.57282939,10.44738462,10.34759201,10.14398223,10.33176943,9.94926576,9.906087737,10.26111549,10.14886653,10.89368648,10.57493391,10.38814778,10.31625796,10.53537848,10.35581824,10.44051922,10.4797994,10.19547707,10.58794617,10.35175908,10.36524542,10.20588116,10.36203097,10.20884861,10.32352394,10.13686492,10.43829175
ILMN_1651199,6.515102474,6.535511034,6.551912129,6.68182404,6.464607629,6.383966053,6.49197453,6.329388653,6.609178738,6.474689224,6.5042472,6.594041795,6.784188674,6.474013157,6.781707429,6.466370049,6.578286911,6.400491354,6.604131992,6.547245097,6.524868154,6.504367595,6.6081708,6.420853408,6.39319542,6.497488986,6.348057476,6.755115182,6.496520937,6.559637811,6.3956315,6.532149276,6.522670688,6.323088888,6.388473969,6.66404318
ILMN_1651209,6.690130284,6.610968891,6.680119734,6.765323775,6.758526079,6.361943774,6.654798742,6.499664724,6.819598518,6.554472576,6.619553069,6.685332826,6.590416931,6.48942227,6.43013572,6.626372762,6.777031103,6.718662597,6.471428895,6.653089339,6.728590505,6.543354102,6.648983935,6.802614275,6.808184155,6.345371643,6.719751796,6.521332753,6.607274264,6.705710921,6.64467567,6.610018149,6.907710076,6.661265264,6.692589086,6.587862734
ILMN_1651210,6.762105156,6.51892134,6.51892134,6.4556697,6.443822614,6.630680801,6.556796318,6.600081845,6.568704675,6.577085452,6.436080552,6.635580722,6.664689693,6.640573606,6.446957954,6.609010797,6.546660655,6.808720464,6.784213465,6.557202588,6.700124409,6.514684171,6.787877832,6.84377833,6.680146379,6.647294883,6.381542951,6.441372309,6.566688329,6.576570234,6.63172825,6.349834091,6.587067172,6.583880529,6.473459776,6.394787458
ILMN_1651221,6.747989496,6.814461089,6.778574971,6.522670688,6.728126657,6.920352855,6.654798742,6.728435905,6.646531437,6.756354144,6.619553069,6.82254669,6.860099387,6.746972295,6.496672238,6.729569249,6.652573407,6.69369814,6.518980929,6.768460043,6.788841894,6.816741263,6.635855505,6.574851512,6.784188674,6.935879366,6.656045599,6.768936159,6.78797674,6.827895991,6.730238534,7.181076944,6.672211022,6.661265264,6.750377097,6.587862734
ILMN_1651228,12.73672703,12.43573734,12.2757988,11.76238518,11.94374966,12.20676926,12.60116757,12.69210361,12.41279536,11.35436836,11.30778512,12.560919,12.76099395,12.3100436,12.51449926,12.16300038,12.37599175,12.29982267,11.81490103,12.407825,12.26811109,12.56638113,12.61243834,12.32141034,12.62726701,11.56325587,12.73958685,12.50881892,12.34252508,12.64284315,12.79920112,12.17705022,12.34790758,12.69210361,12.46376721,12.85340999
ILMN_1651229,7.076815597,7.067739906,7.024132269,7.019085229,6.971456464,6.837771264,7.175284912,7.1698491,7.105729976,7.072741645,7.199821038,7.19244227,7.07316782,6.9914789,6.932214752,7.193674688,6.973219019,7.073958955,7.317738064,7.041762843,6.973784321,7.036007058,6.929706729,7.233438112,7.044601103,6.85316776,6.888789364,7.219681896,6.974284212,6.910392892,7.058155759,7.083237548,6.874189643,7.125256907,6.916467597,6.868729037
ILMN_1651230,6.250370203,6.397447761,6.3956315,6.506532992,6.524749457,6.472721605,6.508815167,6.406172788,6.502440066,6.497247035,6.569222709,6.594041795,6.664689693,6.536924171,6.52895721,6.556796318,6.384947234,6.503163191,6.419672951,6.459121088,6.649582801,6.584620913,6.635855505,6.435891202,6.553949217,6.521005514,6.48112669,6.457971542,6.646585983,6.809792484,6.657128947,6.552028611,6.811107057,6.583880529,6.489726347,6.54045097
ILMN_1651232,6.674727273,6.638984342,6.581657095,6.538512298,6.542562918,6.472721605,6.614152108,6.64554927,6.897570474,6.565938683,6.345170004,6.635580722,6.652356117,6.552203318,6.591324001,6.747277531,6.732244528,6.540861869,6.471428895,6.578944429,6.563658517,6.648330343,6.677078942,6.54771248,6.476408692,6.621885371,6.669153498,6.712422782,6.672586061,6.559637811,6.718455038,6.532149276,6.60250205,6.70578945,6.583025768,6.66404318
ILMN_1651235,6.473152251,6.397447761,6.450773865,6.599349355,6.48625606,6.247208288,6.33349421,6.499664724,6.250154838,6.374973589,6.471305719,6.282597056,6.499302329,6.410611953,6.308097664,6.292844481,6.404335227,6.426645966,6.323703048,6.36982864,6.39270771,6.425120515,6.420279252,6.420853408,6.406301652,6.297645815,6.348057476,6.4247389,6.380100256,6.489239793,6.476101794,6.308476935,6.34321937,6.267567009,6.405463831,6.377703507
ILMN_1651236,6.427408087,6.379378367,6.289215497,6.344699403,6.358085053,6.451086198,6.440177062,6.347621369,6.547069789,6.36250841,6.269268384,6.55383289,6.319808947,6.394657561,6.308097664,6.292844481,6.44174955,6.360747344,6.36373656,6.36982864,6.356818742,6.381542951,6.622440125,6.602445812,6.4630289,6.401396717,6.48112669,6.441372309,6.408619235,6.291763719,6.428169806,6.328946865,6.538688648,6.477298326,6.338364985,6.410611953
ILMN_1651237,6.626594,6.361013303,6.468284625,6.4556697,6.443822614,6.406945799,6.351474678,6.444261972,6.372271481,6.350537429,6.326872047,6.322679303,6.36453264,6.426328297,6.344632161,6.390038643,6.348526984,6.249508549,6.38252578,6.414461023,6.2705431,6.504367595,6.480820794,6.435891202,6.4630289,6.330441604,6.348057476,6.195129827,6.380100256,6.171555915,6.241513763,6.452553255,6.380165864,6.496097212,6.338364985,6.443979543
ILMN_1651238,6.450773865,6.397447761,6.200006883,6.522670688,6.358085053,6.22473256,6.404883517,6.535923342,6.47720632,6.350537429,6.290088682,6.542504294,6.499302329,6.233002263,6.380362672,6.292844481,6.384947234,6.345640451,6.302084986,6.403915806,6.451773091,6.414845366,6.30709729,6.534096512,6.489908763,6.533359231,6.348057476,6.305059902,6.380100256,6.35100613,6.565015505,6.412024471,6.307304321,6.360813838,6.489726347,6.493916083
ILMN_1651249,6.29336714,6.433047954,6.502620882,6.642544052,6.228672956,6.383966053,6.572499276,6.251374815,6.34590921,6.398419818,6.585304007,6.64554927,6.394527653,6.654744506,6.308097664,6.390038643,6.42365711,6.477328993,6.536217776,6.525283514,6.62990851,6.45570083,6.594154925,6.694331503,6.351407752,6.427408087,6.512171807,6.567639243,6.566688329,6.451648226,6.476101794,6.570948145,6.398095872,6.360813838,6.568474378,6.632747404
ILMN_1651253,6.592173862,6.638984342,6.535746653,6.642544052,6.646695067,6.837771264,6.47542639,6.584507033,6.502440066,6.519993577,6.36453264,6.478371292,6.627533884,6.68171758,6.480208809,6.711640904,6.546660655,6.465133488,6.503283677,6.525283514,6.62990851,6.803152657,6.553425669,6.491427997,6.590019908,6.463152784,6.601320597,6.68251584,6.509954903,6.652356117,6.428169806,6.570948145,6.28897091,6.583880529,6.597431853,6.47769695
ILMN_1651254,9.066466372,8.880314019,8.800752859,9.107717388,8.880314019,8.762067396,8.844057812,8.731409036,8.355042367,8.497269719,8.884338211,8.942892102,9.008778748,8.775416991,8.575023477,8.634316044,9.31019103,8.91649587,8.612554397,9.211445886,8.688316547,8.91921321,8.694331503,9.002260977,8.866424253,8.897782444,8.61465408,8.70110952,8.824759899,8.948616111,8.837018619,8.411880072,8.914747516,9.122891708,9.119805739,8.844503682
ILMN_1651259,6.88167018,6.876237868,6.801781833,6.642544052,6.911891277,6.879397598,6.819888769,6.873910114,6.805646175,7.061616664,6.585304007,6.694278734,6.839466263,6.9914789,6.958750422,6.997735474,6.908801993,6.974371132,6.696835839,6.752558042,6.669583015,6.986316118,6.898257831,6.871391914,6.905204645,6.690580055,6.766579101,6.68251584,6.974284212,7.050116607,7.005284291,6.907209338,6.820469097,6.798889038,6.861932813,6.957981412
ILMN_1651260,6.187502042,6.326293287,6.289215497,6.419098324,6.143885633,6.247208288,6.210560661,6.31013077,6.321381516,6.398419818,6.269268384,6.392415004,6.394527653,6.48942227,6.344632161,6.390038643,6.348526984,6.477328993,6.36373656,6.321313179,6.221733573,6.341400889,6.29033308,6.420853408,6.23151212,6.388473969,6.280278683,6.339310173,6.297958391,6.232384586,6.311438713,6.370225057,6.380165864,6.305716324,6.43910679,6.230493576
ILMN_1651262,8.92124927,8.961619602,8.924092686,8.988668551,8.958047343,8.88648179,8.827414884,9.153935809,9.218425636,8.962359286,9.063558504,9.250208682,9.072599558,9.157222514,9.075165107,8.875138473,8.88989569,8.840229556,8.80406378,9.174991863,9.001381537,8.926105025,8.724655956,8.904703036,9.300473898,8.955022398,9.173667673,8.756834272,8.798207898,8.867582955,8.995702921,8.573503749,8.845501931,9.245737254,8.799968386,8.807037736
ILMN_1651268,6.358751086,6.326293287,6.502620882,6.419098324,6.272453064,6.406945799,6.440177062,6.553309299,6.42620121,6.26166757,6.471305719,6.468346343,6.577600485,6.474013157,6.413820224,6.556796318,6.546660655,6.477328993,6.36373656,6.381542951,6.381018502,6.381542951,6.388734866,6.344699403,6.450023991,6.360813838,6.297750014,6.32189394,6.362740843,6.471182533,6.428169806,6.349834091,6.398095872,6.380362672,6.597431853,6.461603465
ILMN_1651278,7.340069251,7.383442484,7.501505493,7.601883314,7.68315413,7.654269857,7.636404915,7.586455996,7.514474975,7.231712107,7.041783581,7.513697693,7.345842025,7.585929893,7.367778746,7.319004908,7.639888793,7.406140571,6.784213465,7.437405312,7.204311777,7.127017269,7.470412381,7.384178699,7.697112368,7.301080433,7.401655287,7.349700084,7.276582667,7.437405312,7.488783499,7.536011678,7.503916062,7.290926444,7.426836534,7.472183116
ILMN_1651279,6.659131,6.677452718,6.863623142,6.718714483,6.927418837,7.119294862,6.838750309,6.981653764,6.897570474,6.917417289,7.336337493,6.799919342,6.849428796,6.772189588,7.183560198,7.040206683,7.073350428,6.769837844,6.86858875,6.845442531,6.841921672,6.859675957,6.993667501,6.816159434,6.877725662,6.873164439,6.888789364,6.878956581,7.029454559,6.809792484,7.243354327,6.812517673,6.722548821,7.193488026,7.085693748,6.971891863
ILMN_1651281,6.719751796,6.567091824,6.413756129,6.718714483,6.679799952,6.668025406,6.936771764,6.584507033,6.524927498,6.693592553,6.653116488,6.685332826,6.552028611,6.668401534,6.513009748,6.574106096,6.496460413,6.731370463,6.518980929,6.515102474,6.582683721,6.594663902,6.480820794,6.574851512,6.602052087,6.508695143,6.719751796,6.611136604,6.466987932,6.63805189,6.657128947,6.49197453,6.538688648,6.496097212,6.422447089,6.556041512
ILMN_1651282,6.690130284,6.610968891,6.667864178,6.765323775,6.505991947,6.79756328,6.654798742,6.812614906,6.664851276,6.68171758,6.55319292,6.542504294,6.652356117,6.611695506,6.82283635,6.591947281,6.652573407,6.706469855,6.934941753,6.63211396,6.709240499,6.790866799,6.450773865,6.885049238,6.52866129,6.893485402,6.707411425,6.799625044,6.685545205,6.431086007,6.63172825,6.768986268,6.60250205,6.676277667,6.73942264,6.66404318
ILMN_1651285,6.573015949,6.433047954,6.485890281,6.490516649,6.443822614,6.339107685,6.351474678,6.290856649,6.250154838,6.38612377,6.382460279,6.521243514,6.590416931,6.426328297,6.513009748,6.53959945,6.44174955,6.489969563,6.503283677,6.459121088,6.488266191,6.534096512,6.420279252,6.477328993,6.476408692,6.497488986,6.587124012,6.48942227,6.659725669,6.410676188,6.380034645,6.552028611,6.571063101,6.567379965,6.371974599,6.54045097
