probe_id,GSM344057,GSM344058,GSM344059,GSM344060,GSM344061,GSM344062,GSM344063,GSM344064,GSM344065,GSM344066,GSM344067,GSM344068,GSM344069,GSM344070,GSM344071,GSM344072
ILMN_1343291,12.15,13.16,12.2,12.47,12.15,13.62,11.51,12,13.17,11.42,12.23,13.67,12.04,12.06,13.54,13.22
ILMN_1651209,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651228,10.23,9.94,10.04,10.19,9.97,8.87,11,9.39,10.39,10.7,10.14,9.26,10.19,9.8,9.7,9.84
ILMN_1651229,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651235,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651236,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651237,7,7,7,7,7,8.13,7,7.81,7,8.56,7,7,7,7,7,7
ILMN_1651238,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651254,8.27,8.18,8.46,8.31,8.58,7.47,7.99,7.88,8.31,8.73,8.73,8.07,7.96,8.38,8.23,8.69
ILMN_1651260,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651262,9.71,10.01,9.74,9.17,9.01,11.4,8.57,10.11,9.9,8.79,8.94,10.99,9.02,9.74,10.13,10.36
ILMN_1651268,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651278,7,7,7,7.26,7.31,7,7,7.51,7,7.46,7.18,7,7,7.01,7,7
ILMN_1651282,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651285,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651286,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651292,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651303,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651309,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651315,7.66,7.21,7.43,8.07,7.53,7.34,8.35,7.51,7.28,8.03,7.84,7.89,8.3,7.74,7.63,7.71
ILMN_1651330,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651336,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651343,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651346,7,7,7,7,7,7,7.03,7,7,7.16,7,7,7.03,7,7,7
ILMN_1651347,8.34,8.75,8.78,8.83,8.92,8.59,8.5,8.3,8.97,8.57,8.85,9.3,8.39,8.77,9.02,8.89
ILMN_1651354,8.48,8.29,7.9,8.67,10.44,7.17,8.74,7.68,8.89,8.65,9.73,8,10.27,7.82,10.62,9.87
ILMN_1651358,7,7,7,7,7,7,7,7,7,7,7,8.28,7,8.16,7,7.26
ILMN_1651364,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651365,7,7,7,7,7,8.73,7,7.73,7,7,7,7.42,7,7,7,7
ILMN_1651370,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651373,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651378,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651385,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651405,8.26,8.33,8.48,8.1,8.24,8.17,9.22,8.11,8.51,9.04,9.02,8.03,8.76,8.31,8.03,8.08
ILMN_1651415,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
ILMN_1651428,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
