study_accession	gse_accession	gpl_accession	gene	feature_id	sample_accession	expression_value
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339820	8.049598656
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339821	7.853016641
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339822	8.444280582
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339823	8.245111246
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339824	8.578178882
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339825	8.550118014
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339826	7.504449179
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339827	8.239207306
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339828	8.256359867
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339829	7.562150449
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339830	7.995027312
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339831	8.225483944
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339832	8.069692433
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339833	8.018060944
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339834	8.200518543
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339835	7.924493939
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339836	8.288491496
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339837	8.133148794
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339838	7.748031105
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339839	8.041561233
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339840	8.274855482
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339841	7.581441149
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339842	8.085633129
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339843	7.349092555
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339844	8.301644927
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339845	8.351315244
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339846	8.165836616
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339847	7.564567404
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339848	8.078558173
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339849	7.72064273
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339850	7.850816023
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339851	7.33188335
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339852	7.413190142
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339853	8.375654897
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339854	7.870690275
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339855	8.21655114
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339856	8.020236119
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339857	7.285839385
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339858	8.15837523
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339859	7.659418419
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339860	7.943187401
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339861	7.362267676
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339862	8.076432941
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339863	8.265737078
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339864	7.908492563
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339865	8.235822057
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339866	8.175101346
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339867	7.803990575
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339868	8.292769967
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339869	8.709787821
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339870	8.414352581
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339871	8.299273763
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339872	8.526959943
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339873	8.418672289
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339874	8.145629467
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339875	8.810800751
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339876	9.102495934
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339877	8.258510456
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339878	8.202929856
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339879	8.158670093
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339880	8.696608133
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339881	8.520572019
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339882	8.568589833
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339883	8.5709136
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339884	8.539656171
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339885	8.217606498
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339886	8.178062382
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339887	8.483330485
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339888	8.175478019
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339889	8.802572527
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339890	8.83284585
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339891	8.445942746
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339892	8.118121255
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339893	8.434939278
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339894	8.815456558
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339895	7.77479957
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339896	7.736482244
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339897	8.327998327
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339898	8.165764368
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339899	8.687969156
SDY1264	GSE13485	GPL7567	EIF2AK4	Hs.412102_at	GSM339900	8.542854286
