gse_accession	gpl_accession	feature_id	gene	entrez_gene_id
GSE120717	GPL13158	1007_PM_s_at	DDR1	780
GSE120717	GPL13158	1053_PM_at	RFC2	5982
GSE120717	GPL13158	117_PM_at	HSPA6	3310
GSE120717	GPL13158	121_PM_at	PAX8	7849
GSE120717	GPL13158	1255_PM_g_at	GUCA1A	2978
GSE120717	GPL13158	1294_PM_at	UBA7	7318
GSE120717	GPL13158	1316_PM_at	THRA	7067
GSE120717	GPL13158	1320_PM_at	PTPN21	11099
GSE120717	GPL13158	1405_PM_i_at	CCL5	6352
GSE120717	GPL13158	1431_PM_at	CYP2E1	1571
GSE120717	GPL13158	1438_PM_at	EPHB3	2049
GSE120717	GPL13158	1487_PM_at	ESRRA	2101
GSE120717	GPL13158	1494_PM_f_at	CYP2A6	1548
GSE120717	GPL13158	1552256_PM_a_at	SCARB1	949
GSE120717	GPL13158	1552257_PM_a_at	TTLL12	23170
GSE120717	GPL13158	1552258_PM_at	NCRNA00152	112597
GSE120717	GPL13158	1552261_PM_at	WFDC2	10406
GSE120717	GPL13158	1552263_PM_at	MAPK1	5594
GSE120717	GPL13158	1552264_PM_a_at	MAPK1	5594
GSE120717	GPL13158	1552266_PM_at	ADAM32	203102
GSE120717	GPL13158	1552269_PM_at	SPATA17	128153
GSE120717	GPL13158	1552271_PM_at	PRR22	163154
GSE120717	GPL13158	1552272_PM_a_at	PRR22	163154
GSE120717	GPL13158	1552274_PM_at	PXK	54899
GSE120717	GPL13158	1552275_PM_s_at	PXK	54899
GSE120717	GPL13158	1552276_PM_a_at	VPS18	57617
GSE120717	GPL13158	1552277_PM_a_at	C9orf30	91283
GSE120717	GPL13158	1552278_PM_a_at	SLC46A1	113235
GSE120717	GPL13158	1552279_PM_a_at	SLC46A1	113235
GSE120717	GPL13158	1552280_PM_at	TIMD4	91937
GSE120717	GPL13158	1552281_PM_at	SLC39A5	283375
GSE120717	GPL13158	1552283_PM_s_at	ZDHHC11	79844
GSE120717	GPL13158	1552286_PM_at	ATP6V1E2	90423
GSE120717	GPL13158	1552287_PM_s_at	AFG3L1	172
GSE120717	GPL13158	1552288_PM_at	CILP2	148113
GSE120717	GPL13158	1552289_PM_a_at	CILP2	148113
GSE120717	GPL13158	1552291_PM_at	PIGX	54965
GSE120717	GPL13158	1552293_PM_at	TMEM196	256130
GSE120717	GPL13158	1552295_PM_a_at	SLC39A13	91252
GSE120717	GPL13158	1552296_PM_at	BEST4	266675
GSE120717	GPL13158	1552299_PM_at	AKD1	221264
GSE120717	GPL13158	1552301_PM_a_at	CORO6	84940
GSE120717	GPL13158	1552302_PM_at	TMEM106A	113277
GSE120717	GPL13158	1552303_PM_a_at	TMEM106A	113277
GSE120717	GPL13158	1552304_PM_at	ALG10	84920
GSE120717	GPL13158	1552306_PM_at	ALG10	84920
GSE120717	GPL13158	1552307_PM_a_at	TTC39C	125488
GSE120717	GPL13158	1552309_PM_a_at	NEXN	91624
GSE120717	GPL13158	1552310_PM_at	C15orf40	123207
GSE120717	GPL13158	1552311_PM_a_at	RAX2	84839
GSE120717	GPL13158	1552312_PM_a_at	MFAP3	4238
GSE120717	GPL13158	1552314_PM_a_at	EYA3	2140
GSE120717	GPL13158	1552315_PM_at	GIMAP1	170575
GSE120717	GPL13158	1552316_PM_a_at	GIMAP1	170575
GSE120717	GPL13158	1552318_PM_at	GIMAP1	170575
GSE120717	GPL13158	1552319_PM_a_at	KLK8	11202
GSE120717	GPL13158	1552320_PM_a_at	CCDC65	85478
GSE120717	GPL13158	1552321_PM_a_at	CCDC65	85478
GSE120717	GPL13158	1552322_PM_at	FAM122C	159091
GSE120717	GPL13158	1552323_PM_s_at	FAM122C	159091
GSE120717	GPL13158	1552325_PM_at	CCDC11	220136
GSE120717	GPL13158	1552326_PM_a_at	CCDC11	220136
GSE120717	GPL13158	1552327_PM_at	ARMCX4	100131755
GSE120717	GPL13158	1552329_PM_at	RBBP6	5930
GSE120717	GPL13158	1552330_PM_at	CENPBD1	92806
GSE120717	GPL13158	1552332_PM_at	TRIOBP	11078
GSE120717	GPL13158	1552334_PM_at	TRIOBP	11078
GSE120717	GPL13158	1552335_PM_at	CATSPER1	117144
GSE120717	GPL13158	1552337_PM_s_at	HOXD4	3233
GSE120717	GPL13158	1552338_PM_at	GSC	145258
GSE120717	GPL13158	1552340_PM_at	SP7	121340
GSE120717	GPL13158	1552343_PM_s_at	PDE7A	5150
GSE120717	GPL13158	1552344_PM_s_at	CNOT7	29883
GSE120717	GPL13158	1552347_PM_at	CRYZL1	9946
GSE120717	GPL13158	1552348_PM_at	PRSS33	260429
GSE120717	GPL13158	1552349_PM_a_at	PRSS33	260429
GSE120717	GPL13158	1552354_PM_at	C19orf26	255057
GSE120717	GPL13158	1552355_PM_s_at	C19orf26	255057
GSE120717	GPL13158	1552359_PM_at	C8orf45	157777
GSE120717	GPL13158	1552360_PM_a_at	TIRAP	114609
GSE120717	GPL13158	1552362_PM_a_at	LEAP2	116842
GSE120717	GPL13158	1552364_PM_s_at	MSI2	124540
GSE120717	GPL13158	1552365_PM_at	SCIN	85477
GSE120717	GPL13158	1552367_PM_a_at	SCIN	85477
GSE120717	GPL13158	1552368_PM_at	CTCFL	140690
GSE120717	GPL13158	1552370_PM_at	C4orf33	132321
GSE120717	GPL13158	1552372_PM_at	C4orf33	132321
GSE120717	GPL13158	1552373_PM_s_at	C4orf33	132321
GSE120717	GPL13158	1552375_PM_at	ZNF333	84449
GSE120717	GPL13158	1552377_PM_s_at	FAM18B2	201158
GSE120717	GPL13158	1552378_PM_s_at	RDH10	157506
GSE120717	GPL13158	1552379_PM_at	RDH10	157506
GSE120717	GPL13158	1552381_PM_at	SFRS13B	135295
GSE120717	GPL13158	1552383_PM_at	FAM71A	149647
GSE120717	GPL13158	1552384_PM_a_at	FAM71A	149647
GSE120717	GPL13158	1552386_PM_at	GAPT	202309
GSE120717	GPL13158	1552388_PM_at	FLJ30901	150378
GSE120717	GPL13158	1552389_PM_at	C8orf47	203111
GSE120717	GPL13158	1552390_PM_a_at	C8orf47	203111
GSE120717	GPL13158	1552391_PM_at	C1orf65	164127
GSE120717	GPL13158	1552393_PM_at	ENTHD1	150350
GSE120717	GPL13158	1552394_PM_a_at	ENTHD1	150350
GSE120717	GPL13158	1552395_PM_at	TSSK3	81629
GSE120717	GPL13158	1552396_PM_at	WFDC6	140870
GSE120717	GPL13158	1552398_PM_a_at	CLEC12A /// CLEC12B	160364 /// 387837
GSE120717	GPL13158	1552399_PM_a_at	BRF1	2972
GSE120717	GPL13158	1552400_PM_a_at	C15orf27	123591
GSE120717	GPL13158	1552401_PM_a_at	C21orf41	100379661
GSE120717	GPL13158	1552402_PM_at	CALML6	163688
GSE120717	GPL13158	1552405_PM_at	NLRP5	126206
GSE120717	GPL13158	1552408_PM_at	ODF4	146852
GSE120717	GPL13158	1552409_PM_a_at	ODF4	146852
GSE120717	GPL13158	1552410_PM_at	CLEC4F	165530
GSE120717	GPL13158	1552411_PM_at	DEFB106A /// DEFB106B	245909 /// 503841
GSE120717	GPL13158	1552412_PM_a_at	DEFB106A /// DEFB106B	245909 /// 503841
GSE120717	GPL13158	1552414_PM_at	WFDC9	259240
GSE120717	GPL13158	1552415_PM_a_at	WFDC9	259240
GSE120717	GPL13158	1552417_PM_a_at	NEDD1	121441
GSE120717	GPL13158	1552418_PM_at	TTLL10	254173
GSE120717	GPL13158	1552419_PM_s_at	TTLL10	254173
GSE120717	GPL13158	1552421_PM_a_at	CALR3	125972
GSE120717	GPL13158	1552422_PM_at	C10orf25	220979
GSE120717	GPL13158	1552423_PM_at	ETV3	2117
GSE120717	GPL13158	1552424_PM_at	KLHL10	317719
GSE120717	GPL13158	1552425_PM_a_at	KLHL10	317719
GSE120717	GPL13158	1552426_PM_a_at	TM2D3	80213
GSE120717	GPL13158	1552427_PM_at	ZNF485	220992
GSE120717	GPL13158	1552430_PM_at	WDR17	116966
GSE120717	GPL13158	1552432_PM_at	MFSD6L	162387
GSE120717	GPL13158	1552436_PM_a_at	CDH23	64072
GSE120717	GPL13158	1552438_PM_a_at	ANKAR	150709
GSE120717	GPL13158	1552439_PM_s_at	MEGF11	84465
GSE120717	GPL13158	1552440_PM_at	GPR182	11318
GSE120717	GPL13158	1552445_PM_a_at	ESX1	80712
GSE120717	GPL13158	1552448_PM_a_at	C8orf12	83656
GSE120717	GPL13158	1552449_PM_a_at	SCGB1C1	147199
GSE120717	GPL13158	1552450_PM_a_at	DNAJC5G	285126
GSE120717	GPL13158	1552452_PM_at	WDR88	126248
GSE120717	GPL13158	1552453_PM_a_at	WDR88	126248
GSE120717	GPL13158	1552455_PM_at	PRUNE2	158471
GSE120717	GPL13158	1552456_PM_a_at	MBD3L2	125997
GSE120717	GPL13158	1552457_PM_a_at	ADAMTSL1	92949
GSE120717	GPL13158	1552458_PM_at	MBD3L1	85509
GSE120717	GPL13158	1552459_PM_a_at	MBD3L1	85509
GSE120717	GPL13158	1552461_PM_at	FAM46D	169966
GSE120717	GPL13158	1552463_PM_at	SERPINB11	89778
GSE120717	GPL13158	1552466_PM_x_at	NCRNA00161	118421
GSE120717	GPL13158	1552467_PM_at	DSCR10	259234
GSE120717	GPL13158	1552468_PM_a_at	DSCR10	259234
GSE120717	GPL13158	1552470_PM_a_at	ABHD11	83451
GSE120717	GPL13158	1552472_PM_a_at	ACAP2	23527
GSE120717	GPL13158	1552473_PM_at	GAMT	2593
GSE120717	GPL13158	1552474_PM_a_at	GAMT	2593
GSE120717	GPL13158	1552476_PM_s_at	PLCD3	113026
GSE120717	GPL13158	1552477_PM_a_at	IRF6	3664
GSE120717	GPL13158	1552478_PM_a_at	IRF6	3664
GSE120717	GPL13158	1552480_PM_s_at	PTPRC	5788
GSE120717	GPL13158	1552481_PM_s_at	MAN1A2	10905
GSE120717	GPL13158	1552482_PM_at	RAPH1	65059
GSE120717	GPL13158	1552484_PM_at	SMCR8	140775
GSE120717	GPL13158	1552485_PM_at	LACTB	114294
GSE120717	GPL13158	1552486_PM_s_at	LACTB	114294
GSE120717	GPL13158	1552487_PM_a_at	BNC1	646
GSE120717	GPL13158	1552489_PM_s_at	MPP4	58538
GSE120717	GPL13158	1552490_PM_at	LACE1	246269
GSE120717	GPL13158	1552491_PM_at	IDI2	91734
GSE120717	GPL13158	1552493_PM_s_at	CYP11B1	1584
GSE120717	GPL13158	1552494_PM_at	TAF8	129685
GSE120717	GPL13158	1552496_PM_a_at	COBL	23242
GSE120717	GPL13158	1552497_PM_a_at	SLAMF6	114836
GSE120717	GPL13158	1552498_PM_at	ZSCAN20	7579
GSE120717	GPL13158	1552499_PM_a_at	ZSCAN20	7579
GSE120717	GPL13158	1552501_PM_a_at	GPBAR1	151306
GSE120717	GPL13158	1552502_PM_s_at	RHBDL2	54933
GSE120717	GPL13158	1552503_PM_at	FRAS1	80144
GSE120717	GPL13158	1552504_PM_a_at	BRSK1	84446
GSE120717	GPL13158	1552506_PM_at	CRB2	286204
GSE120717	GPL13158	1552507_PM_at	KCNE4	23704
GSE120717	GPL13158	1552508_PM_at	KCNE4	23704
GSE120717	GPL13158	1552509_PM_a_at	CD300LG	146894
GSE120717	GPL13158	1552510_PM_at	SLC34A3	142680
GSE120717	GPL13158	1552511_PM_a_at	CPA6	57094
GSE120717	GPL13158	1552514_PM_at	WBP2NL	164684
GSE120717	GPL13158	1552515_PM_at	HIPK1	204851
GSE120717	GPL13158	1552516_PM_a_at	HIPK1	204851
GSE120717	GPL13158	1552518_PM_s_at	MTBP	27085
GSE120717	GPL13158	1552519_PM_at	ACVR1C	130399
GSE120717	GPL13158	1552520_PM_at	TMEM74	157753
GSE120717	GPL13158	1552521_PM_a_at	TMEM74	157753
GSE120717	GPL13158	1552522_PM_at	TIGD4	201798
GSE120717	GPL13158	1552523_PM_a_at	TIGD4	201798
GSE120717	GPL13158	1552524_PM_at	ART5	116969
GSE120717	GPL13158	1552526_PM_at	FAM71C	196472
GSE120717	GPL13158	1552528_PM_at	C21orf67	84536
GSE120717	GPL13158	1552531_PM_a_at	NLRP11	204801
GSE120717	GPL13158	1552532_PM_a_at	ATP6V1C2	245973
GSE120717	GPL13158	1552535_PM_at	CLDN19	149461
GSE120717	GPL13158	1552536_PM_at	VTI1A	143187
GSE120717	GPL13158	1552538_PM_a_at	KIF6	221458
GSE120717	GPL13158	1552540_PM_s_at	IQCD	115811
GSE120717	GPL13158	1552541_PM_at	TAGAP	117289
GSE120717	GPL13158	1552542_PM_s_at	TAGAP	117289
GSE120717	GPL13158	1552543_PM_a_at	STON2	85439
GSE120717	GPL13158	1552544_PM_at	SERPINA12	145264
GSE120717	GPL13158	1552546_PM_a_at	LETM2	137994
GSE120717	GPL13158	1552548_PM_at	BSND	7809
GSE120717	GPL13158	1552549_PM_a_at	BSND	7809
GSE120717	GPL13158	1552552_PM_s_at	CLEC4C	170482
GSE120717	GPL13158	1552553_PM_a_at	NLRC4	58484
GSE120717	GPL13158	1552554_PM_a_at	NLRC4	58484
GSE120717	GPL13158	1552555_PM_at	PRSS36	146547
GSE120717	GPL13158	1552557_PM_a_at	ZDHHC15	158866
GSE120717	GPL13158	1552558_PM_a_at	RAI1	10743
GSE120717	GPL13158	1552559_PM_a_at	CDK15	65061
GSE120717	GPL13158	1552562_PM_at	ZNF570	148268
GSE120717	GPL13158	1552564_PM_at	NUDT9P1	119369
GSE120717	GPL13158	1552566_PM_at	BTBD16	118663
GSE120717	GPL13158	1552568_PM_at	RTP3	83597
GSE120717	GPL13158	1552569_PM_a_at	RTP3	83597
GSE120717	GPL13158	1552570_PM_at	C21orf29	54084
GSE120717	GPL13158	1552572_PM_a_at	MIPOL1	145282
GSE120717	GPL13158	1552573_PM_s_at	MIPOL1	145282
GSE120717	GPL13158	1552575_PM_a_at	C6orf141	135398
GSE120717	GPL13158	1552576_PM_at	ALMS1P	200420
GSE120717	GPL13158	1552578_PM_a_at	MYO3B	140469
GSE120717	GPL13158	1552579_PM_a_at	ADAM21	8747
GSE120717	GPL13158	1552580_PM_at	TRIML2	205860
GSE120717	GPL13158	1552582_PM_at	ABCC13	150000
GSE120717	GPL13158	1552583_PM_s_at	ABCC13	150000
GSE120717	GPL13158	1552584_PM_at	IL12RB1	3594
GSE120717	GPL13158	1552585_PM_s_at	GTF2A1L	11036
GSE120717	GPL13158	1552586_PM_at	TRPV3	162514
GSE120717	GPL13158	1552587_PM_at	CNBD1	168975
GSE120717	GPL13158	1552588_PM_a_at	CNBD1	168975
GSE120717	GPL13158	1552590_PM_a_at	ABCC12	94160
GSE120717	GPL13158	1552592_PM_at	MMP21	118856
GSE120717	GPL13158	1552594_PM_at	TMEM190	147744
GSE120717	GPL13158	1552596_PM_at	GAS2L2	246176
GSE120717	GPL13158	1552598_PM_at	KCNG4	93107
GSE120717	GPL13158	1552599_PM_at	PXT1	222659
GSE120717	GPL13158	1552602_PM_at	CACNG5	27091
GSE120717	GPL13158	1552604_PM_at	C21orf74	54143
GSE120717	GPL13158	1552605_PM_s_at	C21orf74	54143
GSE120717	GPL13158	1552607_PM_at	NCRNA00204	100132967
GSE120717	GPL13158	1552608_PM_at	WFDC11	259239
GSE120717	GPL13158	1552609_PM_s_at	IL28A /// IL28B	282616 /// 282617
GSE120717	GPL13158	1552610_PM_a_at	JAK1	3716
GSE120717	GPL13158	1552611_PM_a_at	JAK1	3716
GSE120717	GPL13158	1552612_PM_at	CDC42SE2	56990
GSE120717	GPL13158	1552613_PM_s_at	CDC42SE2	56990
GSE120717	GPL13158	1552615_PM_at	ACACB	32
GSE120717	GPL13158	1552616_PM_a_at	ACACB	32
GSE120717	GPL13158	1552617_PM_a_at	RFWD2	64326
GSE120717	GPL13158	1552618_PM_at	STX6	10228
GSE120717	GPL13158	1552619_PM_a_at	ANLN	54443
GSE120717	GPL13158	1552620_PM_at	SPRR4	163778
GSE120717	GPL13158	1552621_PM_at	POLR2J2	246721
GSE120717	GPL13158	1552622_PM_s_at	LOC441259 /// POLR2J2	246721 /// 441259
GSE120717	GPL13158	1552623_PM_at	HSH2D	84941
GSE120717	GPL13158	1552625_PM_a_at	TRNT1	51095
GSE120717	GPL13158	1552626_PM_a_at	TMEM163	81615
GSE120717	GPL13158	1552627_PM_a_at	ARHGAP5	394
GSE120717	GPL13158	1552628_PM_a_at	HERPUD2	64224
GSE120717	GPL13158	1552629_PM_a_at	JMJD6	23210
GSE120717	GPL13158	1552630_PM_a_at	SRCAP	10847
GSE120717	GPL13158	1552631_PM_a_at	MAP3K6	9064
GSE120717	GPL13158	1552632_PM_a_at	ARSG	22901
GSE120717	GPL13158	1552633_PM_at	ZNF101	94039
GSE120717	GPL13158	1552634_PM_a_at	ZNF101	94039
GSE120717	GPL13158	1552637_PM_at	PTPN11	5781
GSE120717	GPL13158	1552639_PM_at	KLHDC7B	113730
GSE120717	GPL13158	1552641_PM_s_at	ATAD3A /// ATAD3B /// LOC732419	55210 /// 732419 /// 83858
GSE120717	GPL13158	1552643_PM_at	ZNF626	199777
GSE120717	GPL13158	1552644_PM_a_at	PHC3	80012
GSE120717	GPL13158	1552646_PM_at	IL11RA	3590
GSE120717	GPL13158	1552648_PM_a_at	TNFRSF10A	8797
GSE120717	GPL13158	1552649_PM_a_at	RFFL	117584
GSE120717	GPL13158	1552651_PM_a_at	RFFL	117584
GSE120717	GPL13158	1552652_PM_at	HPS4	89781
GSE120717	GPL13158	1552656_PM_s_at	UHMK1	127933
GSE120717	GPL13158	1552657_PM_a_at	TXNDC2	84203
GSE120717	GPL13158	1552658_PM_a_at	NAV3	89795
GSE120717	GPL13158	1552660_PM_a_at	C5orf22	55322
GSE120717	GPL13158	1552661_PM_at	PCDHGB7	56099
GSE120717	GPL13158	1552662_PM_a_at	PCDHGB7	56099
GSE120717	GPL13158	1552663_PM_a_at	ERC1	23085
GSE120717	GPL13158	1552664_PM_at	FLCN	201163
GSE120717	GPL13158	1552665_PM_at	LOC84989	84989
GSE120717	GPL13158	1552666_PM_a_at	LRRC7	57554
GSE120717	GPL13158	1552667_PM_a_at	SH2D3C	10044
GSE120717	GPL13158	1552669_PM_at	PPP1R3B	79660
GSE120717	GPL13158	1552670_PM_a_at	PPP1R3B	79660
