sdy_id	tab_zip_path	has_expsample_public_repository	geo_linked_sample_count	has_study_link	study_link_targets	ready	reason
SDY89	/nfs/lambda_stor_01/data/avasan/omics_agents/hepb_nfkb/readiness/immport_cache/SDY89/SDY89-DR58_Tab.zip	False	0	True	ClinicalTrials.gov -> https://clinicaltrials.gov/ct2/show/NCT02117934	False	no expsample_public_repository.txt in Tab.zip
SDY690	/nfs/lambda_stor_01/data/avasan/omics_agents/hepb_nfkb/readiness/immport_cache/SDY690/SDY690-DR58_Tab.zip	False	0	True	NA -> NA	False	no expsample_public_repository.txt in Tab.zip
SDY1328	/nfs/lambda_stor_01/data/avasan/omics_agents/hepb_nfkb/readiness/immport_cache/SDY1328/SDY1328-DR58_Tab.zip	True	342	True	ClinicalTrials.gov -> https://clinicaltrials.gov/ct2/show/NCT01119703; Gene Expression Omnibus -> https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65834	True	342 GEO-linked sample(s) in expsample_public_repository.txt
SDY816	/nfs/lambda_stor_01/data/avasan/omics_agents/hepb_nfkb/readiness/immport_cache/SDY816/SDY816-DR58_Tab.zip	False	0	True	NA -> NA	False	no expsample_public_repository.txt in Tab.zip
SDY299	/nfs/lambda_stor_01/data/avasan/omics_agents/hepb_nfkb/readiness/immport_cache/SDY299/SDY299-DR58_Tab.zip	True	75	True	ClinicalTrials.gov -> https://clinicaltrials.gov/ct2/show/NCT02117934	True	75 GEO-linked sample(s) in expsample_public_repository.txt
SDY2312	/nfs/lambda_stor_01/data/avasan/omics_agents/hepb_nfkb/readiness/immport_cache/SDY2312/SDY2312-DR58_Tab.zip	True	84	False		True	84 GEO-linked sample(s) in expsample_public_repository.txt
SDY1538	/nfs/lambda_stor_01/data/avasan/omics_agents/hepb_nfkb/readiness/immport_cache/SDY1538/SDY1538-DR58_Tab.zip	True	2673	True	ClinicalTrials.gov -> https://clinicaltrials.gov/ct2/show/NCT03246230	True	2673 GEO-linked sample(s) in expsample_public_repository.txt
SDY2584	/nfs/lambda_stor_01/data/avasan/omics_agents/hepb_nfkb/readiness/immport_cache/SDY2584/SDY2584-DR58_Tab.zip	True	218	False		True	218 GEO-linked sample(s) in expsample_public_repository.txt
SDY671	/nfs/lambda_stor_01/data/avasan/omics_agents/hepb_nfkb/readiness/immport_cache/SDY671/SDY671-DR58_Tab.zip	False	0	True	Clinicaltrials.gov -> https://www.clinicaltrials.gov/ct2/show/record/NCT00078559; Immune Tolerance Network Trialshare -> https://www.itntrialshare.org	False	no expsample_public_repository.txt in Tab.zip
SDY674	/nfs/lambda_stor_01/data/avasan/omics_agents/hepb_nfkb/readiness/immport_cache/SDY674/SDY674-DR58_Tab.zip	False	0	True	Clinicaltrials.gov -> https://www.clinicaltrials.gov/ct2/show/study/NCT00346151; Immune Tolerance Network Trialshare -> https://www.itntrialshare.org	False	no expsample_public_repository.txt in Tab.zip
SDY3271	/nfs/lambda_stor_01/data/avasan/omics_agents/hepb_nfkb/readiness/immport_cache/SDY3271/SDY3271-DR59_Tab.zip	False	0	True	Clinicaltrials.gov -> https://clinicaltrials.gov/study/NCT00135694	False	no expsample_public_repository.txt in Tab.zip
