BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION
BS632077	ES588503
BS632078	ES588504
BS632079	ES588505
BS632080	ES588506
BS632081	ES588507
BS632082	ES588508
BS632083	ES588509
BS632084	ES588510
BS632085	ES588511
BS632086	ES588512
BS632087	ES588513
BS632088	ES588514
BS632089	ES588515
BS632090	ES588516
BS632091	ES588517
BS632092	ES588518
BS632093	ES588519
BS632094	ES588520
BS632095	ES588521
BS632096	ES588522
BS632097	ES588523
BS632098	ES588524
BS632099	ES588525
BS632100	ES588526
BS632101	ES588527
BS632102	ES588528
BS632103	ES588529
BS632104	ES588530
BS632105	ES588531
BS632106	ES588532
BS632107	ES588533
BS632108	ES588534
BS632109	ES588535
BS632110	ES588536
BS632111	ES588537
BS632112	ES588538
BS632113	ES588539
BS632114	ES588540
BS632115	ES588541
BS632116	ES588542
BS632117	ES588543
BS632118	ES588544
BS632119	ES588545
BS632120	ES588546
BS632121	ES588547
BS632122	ES588548
BS632123	ES588549
BS632124	ES588550
BS632125	ES588551
BS632126	ES588552
BS632127	ES588553
BS632128	ES588554
BS632129	ES588555
BS632130	ES588556
BS632131	ES588557
BS632132	ES588558
BS632133	ES588559
BS632134	ES588560
BS632135	ES588561
BS632136	ES588562
BS632137	ES588563
BS632138	ES588564
BS632139	ES588565
BS632140	ES588566
BS632141	ES588567
BS632142	ES588568
BS632143	ES588569
BS632144	ES588570
BS632145	ES588571
BS632146	ES588572
BS632147	ES588573
BS632148	ES588574
BS632149	ES588575
BS632150	ES588576
BS632151	ES588577
BS632152	ES588578
BS632153	ES588579
BS632154	ES588580
BS632155	ES588581
BS632156	ES588582
BS632157	ES588583
BS632158	ES588584
BS632159	ES588585
BS632160	ES588586
BS632161	ES588587
BS632162	ES588588
BS632163	ES588589
BS632164	ES588590
BS632165	ES588591
BS632166	ES588592
BS632167	ES588593
BS632168	ES588594
BS632169	ES588595
BS632170	ES588596
BS632171	ES588597
BS632172	ES588598
BS632173	ES588599
BS632174	ES588600
BS632175	ES588601
BS632176	ES588602
BS632177	ES588603
BS632178	ES588604
BS632179	ES588605
BS632180	ES588606
BS632181	ES588607
BS632182	ES588608
BS632183	ES588609
BS632184	ES588610
BS632185	ES588611
BS632186	ES588612
BS632187	ES588613
BS632188	ES588614
BS632189	ES588615
BS632190	ES588616
BS632191	ES588617
BS632192	ES588618
BS632193	ES588619
BS632194	ES588620
BS632195	ES588621
BS632196	ES588622
BS632197	ES588623
BS632198	ES588624
BS632199	ES588625
BS632200	ES588626
BS632201	ES588627
BS632202	ES588628
BS632203	ES588629
BS632204	ES588630
BS632205	ES588631
BS632206	ES588632
BS632207	ES588633
BS632208	ES588634
BS632209	ES588635
BS632210	ES588636
BS632211	ES588637
BS632212	ES588638
BS632213	ES588639
BS632214	ES588640
BS632215	ES588641
BS632216	ES588642
BS632217	ES588643
BS632218	ES588644
BS632219	ES588645
BS632220	ES588646
BS632221	ES588647
BS632222	ES588648
BS632223	ES588649
BS812894	ES984552
BS812895	ES984553
BS812896	ES984554
BS812897	ES984555
BS812898	ES984556
BS812899	ES984557
BS812900	ES984558
BS812901	ES984559
BS812902	ES984560
BS812903	ES984561
BS812904	ES984562
BS812905	ES984563
BS812906	ES984564
BS812907	ES984565
BS812908	ES984566
BS812909	ES984567
BS812910	ES984568
BS812911	ES984569
BS812912	ES984570
BS812913	ES984571
BS812914	ES984572
BS812915	ES984573
BS812916	ES984574
BS812917	ES984575
BS812918	ES984576
BS812919	ES984577
BS812920	ES984578
BS812921	ES984579
BS812922	ES984580
BS812923	ES984581
BS812924	ES984582
BS812925	ES984583
BS812926	ES984584
BS812927	ES984585
BS812928	ES984586
BS812929	ES984587
BS812930	ES984588
BS812931	ES984589
BS812932	ES984590
BS812933	ES984591
BS812934	ES984592
BS812935	ES984593
BS812936	ES984594
BS812937	ES984595
BS812938	ES984596
BS812939	ES984597
BS812940	ES984598
BS812941	ES984599
BS812942	ES984600
BS812943	ES984601
BS812944	ES984602
BS812945	ES984603
BS812946	ES984604
BS812947	ES984605
BS812948	ES984606
BS812949	ES984607
BS812950	ES984608
BS812951	ES984609
BS812952	ES984610
BS812953	ES984611
BS812954	ES984612
BS812955	ES984613
BS812956	ES984614
BS812957	ES984615
BS812958	ES984616
BS812959	ES984617
BS812960	ES984618
BS812961	ES984619
BS812962	ES984620
BS812963	ES984621
BS812964	ES984622
BS812965	ES984623
BS812966	ES984624
BS812967	ES984625
BS812968	ES984626
BS812969	ES984627
BS812970	ES984628
BS812971	ES984629
BS812972	ES984630
BS812973	ES984631
BS812974	ES984632
BS812975	ES984633
BS812976	ES984634
BS812977	ES984635
BS812978	ES984636
BS812979	ES984637
BS812980	ES984638
BS812981	ES984639
BS812982	ES984640
BS812983	ES984641
BS812984	ES984642
BS812985	ES984643
BS812986	ES984644
BS812987	ES984645
BS812988	ES984646
BS812989	ES984647
BS812990	ES984648
BS812991	ES984649
BS812992	ES984650
BS812993	ES984651
BS812994	ES984652
BS812995	ES984653
BS812996	ES984654
BS812997	ES984655
BS812998	ES984656
BS812999	ES984657
BS813000	ES984658
BS813001	ES984659
BS813002	ES984660
BS813003	ES984661
BS813004	ES984662
BS813005	ES984663
BS813006	ES984664
BS813007	ES984665
BS813008	ES984666
BS813009	ES984667
BS813010	ES984668
BS813011	ES984669
BS813012	ES984670
BS813013	ES984671
BS813014	ES984672
BS813015	ES984673
BS813016	ES984674
BS813017	ES984675
BS813018	ES984676
BS813019	ES984677
BS813020	ES984678
BS813021	ES984679
BS813022	ES984680
BS813023	ES984681
BS813024	ES984682
BS813025	ES984683
BS813026	ES984684
BS813027	ES984685
BS813028	ES984686
BS813029	ES984687
BS813030	ES984688
BS813031	ES984689
BS813032	ES984690
BS813033	ES984691
BS813034	ES984692
BS813035	ES984693
BS813036	ES984694
BS813037	ES984695
BS813038	ES984696
BS813039	ES984697
BS813040	ES984698
BS813041	ES984699
BS813042	ES984700
BS813043	ES984701
BS813044	ES984702
BS813045	ES984703
BS813046	ES984704
BS813047	ES984705
BS813048	ES984706
BS813049	ES984707
BS813050	ES984708
BS813051	ES984709
BS813052	ES984710
BS813053	ES984711
BS813054	ES984712
BS813055	ES984713
BS813056	ES984714
BS813057	ES984715
BS813058	ES984716
BS813059	ES984717
BS813060	ES984718
BS813061	ES984719
BS813062	ES984720
BS813063	ES984721
BS813064	ES984722
BS813065	ES984723
BS813066	ES984724
BS813067	ES984725
BS813068	ES984726
BS813069	ES984727
BS813070	ES984728
BS813071	ES984729
BS813072	ES984730
BS813073	ES984731
BS813074	ES984732
BS813075	ES984733
BS813076	ES984734
BS813077	ES984735
BS813078	ES984736
BS813079	ES984737
BS813080	ES984738
BS813081	ES984739
BS813082	ES984740
BS813083	ES984741
BS813084	ES984742
BS813085	ES984743
BS813086	ES984744
BS813087	ES984745
BS813088	ES984746
BS813089	ES984747
BS813090	ES984748
BS813091	ES984749
BS813092	ES984750
BS813093	ES984751
BS813094	ES984752
BS813095	ES984753
BS813096	ES984754
BS813097	ES984755
BS813098	ES984756
BS813099	ES984757
BS813100	ES984758
BS813101	ES984759
BS813102	ES984760
BS813103	ES984761
BS813104	ES984762
BS813105	ES984763
BS813106	ES984764
BS813107	ES984765
BS813108	ES984766
BS813109	ES984767
BS813110	ES984768
BS813111	ES984769
BS813112	ES984770
BS813113	ES984771
BS813114	ES984772
BS813115	ES984773
BS813116	ES984774
BS813117	ES984775
BS813118	ES984776
BS813119	ES984777
BS813120	ES984778
BS813121	ES984779
BS813122	ES984780
BS813123	ES984781
BS813124	ES984782
BS813125	ES984783
BS813126	ES984784
BS813127	ES984785
BS813128	ES984786
BS813129	ES984787
BS813130	ES984788
BS813131	ES984789
BS813132	ES984790
BS813133	ES984791
BS813134	ES984792
BS813135	ES984793
BS813136	ES984794
BS813137	ES984795
BS813138	ES984796
BS813139	ES984797
BS813140	ES984798
BS813141	ES984799
BS813142	ES984800
BS813143	ES984801
BS813144	ES984802
BS813145	ES984803
BS813146	ES984804
BS813147	ES984805
BS813148	ES984806
BS813149	ES984807
BS813150	ES984808
BS813151	ES984809
BS813152	ES984810
BS813153	ES984811
BS813154	ES984812
BS813155	ES984813
BS813156	ES984814
BS813157	ES984815
BS813158	ES984816
BS813159	ES984817
BS813160	ES984818
BS813161	ES984819
BS813162	ES984820
BS813163	ES984821
BS813164	ES984822
BS813165	ES984823
BS813166	ES984824
BS813167	ES984825
BS813168	ES984826
BS813169	ES984827
BS813170	ES984828
BS813171	ES984829
BS813172	ES984830
BS813173	ES984831
BS813174	ES984832
BS813175	ES984833
BS813176	ES984834
BS813177	ES984835
BS813178	ES984836
BS813179	ES984837
BS813180	ES984838
BS813181	ES984839
BS813182	ES984840
BS813183	ES984841
BS813184	ES984842
BS813185	ES984843
BS813186	ES984844
BS813187	ES984845
BS813188	ES984846
BS813189	ES984847
BS813190	ES984848
BS813191	ES984849
BS813192	ES984850
BS813193	ES984851
BS813194	ES984852
BS813195	ES984853
BS813196	ES984854
BS813197	ES984855
BS813198	ES984856
BS813199	ES984857
BS813200	ES984858
BS813201	ES984859
BS813202	ES984860
BS813203	ES984861
BS813204	ES984862
BS813205	ES984863
BS813206	ES984864
BS813207	ES984865
BS813208	ES984866
BS813209	ES984867
BS813210	ES984868
BS813211	ES984869
BS813212	ES984870
BS813213	ES984871
BS813214	ES984872
BS813215	ES984873
BS813216	ES984874
BS813217	ES984875
BS813218	ES984876
BS813219	ES984877
BS813220	ES984878
BS813221	ES984879
BS813222	ES984880
BS813223	ES984881
BS813224	ES984882
BS813225	ES984883
BS813226	ES984884
BS813227	ES984885
BS813228	ES984886
BS813229	ES984887
BS813230	ES984888
BS813231	ES984889
BS813232	ES984890
BS813233	ES984891
BS813234	ES984892
BS813235	ES984893
BS813236	ES984894
BS813237	ES984895
BS813238	ES984896
BS813239	ES984897
BS813240	ES984898
BS813241	ES984899
BS813242	ES984900
BS813243	ES984901
BS813244	ES984902
BS813245	ES984903
BS813246	ES984904
BS813247	ES984905
BS813248	ES984906
BS813249	ES984907
BS813250	ES984908
BS813251	ES984909
BS813252	ES984910
BS813253	ES984911
BS813254	ES984912
BS813255	ES984913
BS813256	ES984914
BS813257	ES984915
BS813258	ES984916
BS813259	ES984917
BS813260	ES984918
BS813261	ES984919
BS813262	ES984920
BS813263	ES984921
BS813264	ES984922
BS813265	ES984923
BS813266	ES984924
BS813267	ES984925
BS813268	ES984926
BS813269	ES984927
BS813270	ES984928
BS813271	ES984929
BS813272	ES984930
BS813273	ES984931
BS813274	ES984932
BS813275	ES984933
BS813276	ES984934
BS813277	ES984935
BS813278	ES984936
BS813279	ES984937
BS813280	ES984938
BS813281	ES984939
BS813282	ES984940
BS813283	ES984941
BS813284	ES984942
BS813285	ES984943
BS813286	ES984944
BS813287	ES984945
BS813288	ES984946
BS813289	ES984947
BS813290	ES984948
BS813291	ES984949
BS813292	ES984950
BS813293	ES984951
BS813294	ES984952
BS813295	ES984953
BS813296	ES984954
BS813297	ES984955
BS813298	ES984956
BS813299	ES984957
BS813300	ES984958
BS813301	ES984959
BS813302	ES984960
BS813303	ES984961
BS813304	ES984962
BS813305	ES984963
BS813306	ES984964
BS813307	ES984965
BS813308	ES984966
BS813309	ES984967
BS813310	ES984968
BS813311	ES984969
BS813312	ES984970
BS813313	ES984971
BS813314	ES984972
BS813315	ES984973
BS813316	ES984974
BS813317	ES984975
BS813318	ES984976
BS813319	ES984977
BS813320	ES984978
BS813321	ES984979
BS813322	ES984980
BS813323	ES984981
BS813324	ES984982
BS813325	ES984983
BS813326	ES984984
BS813327	ES984985
BS813328	ES984986
BS813329	ES984987
BS813330	ES984988
BS813331	ES984989
BS813332	ES984990
BS813333	ES984991
BS813334	ES984992
BS712130	ES997493
BS712130	ES997494
BS712130	ES997495
BS712130	ES997496
BS712131	ES997497
BS712131	ES997498
BS712131	ES997499
BS712131	ES997500
BS712132	ES997501
BS712132	ES997502
BS712132	ES997503
BS712132	ES997504
BS712133	ES997505
BS712133	ES997506
BS712133	ES997507
BS712133	ES997508
BS712134	ES997509
BS712134	ES997510
BS712134	ES997511
BS712134	ES997512
BS712135	ES997513
BS712135	ES997514
BS712135	ES997515
BS712135	ES997516
BS712136	ES997517
BS712136	ES997518
BS712136	ES997519
BS712136	ES997520
BS712137	ES997521
BS712137	ES997522
BS712137	ES997523
BS712137	ES997524
BS712138	ES997525
BS712138	ES997526
BS712138	ES997527
BS712138	ES997528
BS712139	ES997529
BS712139	ES997530
BS712139	ES997531
BS712139	ES997532
BS712140	ES997533
BS712140	ES997534
BS712140	ES997535
BS712140	ES997536
BS712141	ES997537
BS712141	ES997538
BS712141	ES997539
BS712141	ES997540
BS712142	ES997541
BS712142	ES997542
BS712142	ES997543
BS712142	ES997544
BS712143	ES997545
BS712143	ES997546
BS712143	ES997547
BS712143	ES997548
BS712144	ES997549
BS712144	ES997550
BS712144	ES997551
BS712144	ES997552
BS712145	ES997553
BS712145	ES997554
BS712145	ES997555
BS712145	ES997556
BS712146	ES997557
BS712146	ES997558
BS712146	ES997559
BS712146	ES997560
BS712147	ES997561
BS712147	ES997562
BS712147	ES997563
BS712147	ES997564
BS712148	ES997565
BS712148	ES997566
BS712148	ES997567
BS712148	ES997568
BS712149	ES997569
BS712149	ES997570
BS712149	ES997571
BS712149	ES997572
BS712150	ES997573
BS712150	ES997574
BS712150	ES997575
BS712150	ES997576
BS712151	ES997577
BS712151	ES997578
BS712151	ES997579
BS712151	ES997580
BS712152	ES997581
BS712152	ES997582
BS712152	ES997583
BS712152	ES997584
BS712153	ES997585
BS712153	ES997586
BS712153	ES997587
BS712153	ES997588
BS712154	ES997589
BS712154	ES997590
BS712154	ES997591
BS712154	ES997592
BS712155	ES997593
BS712155	ES997594
BS712155	ES997595
BS712155	ES997596
BS712156	ES997597
BS712156	ES997598
BS712156	ES997599
