EXPSAMPLE_ACCESSION	FILE_INFO_ID	RESULT_SCHEMA
ES984552	703253	OTHER
ES984553	703253	OTHER
ES984554	703253	OTHER
ES984555	703253	OTHER
ES984556	703253	OTHER
ES984557	703253	OTHER
ES984558	703253	OTHER
ES984559	703253	OTHER
ES984560	703253	OTHER
ES984561	703253	OTHER
ES984562	703253	OTHER
ES984563	703253	OTHER
ES984564	703253	OTHER
ES984565	703253	OTHER
ES984566	703253	OTHER
ES984567	703253	OTHER
ES984568	703253	OTHER
ES984569	703253	OTHER
ES984570	703253	OTHER
ES984571	703253	OTHER
ES984572	703253	OTHER
ES984573	703253	OTHER
ES984574	703253	OTHER
ES984575	703253	OTHER
ES984576	703253	OTHER
ES984577	703253	OTHER
ES984578	703253	OTHER
ES984579	703253	OTHER
ES984580	703253	OTHER
ES984581	703253	OTHER
ES984582	703253	OTHER
ES984583	703253	OTHER
ES984584	703253	OTHER
ES984585	703253	OTHER
ES984586	703253	OTHER
ES984587	703253	OTHER
ES984588	703253	OTHER
ES984589	703253	OTHER
ES984590	703253	OTHER
ES984591	703253	OTHER
ES984592	703253	OTHER
ES984593	703253	OTHER
ES984594	703253	OTHER
ES984595	703253	OTHER
ES984596	703253	OTHER
ES984597	703253	OTHER
ES984598	703253	OTHER
ES984599	703253	OTHER
ES984600	703253	OTHER
ES984601	703253	OTHER
ES984602	703253	OTHER
ES984603	703253	OTHER
ES984604	703253	OTHER
ES984605	703253	OTHER
ES984606	703253	OTHER
ES984607	703253	OTHER
ES984608	703253	OTHER
ES984609	703253	OTHER
ES984610	703253	OTHER
ES984611	703253	OTHER
ES984612	703253	OTHER
ES984613	703253	OTHER
ES984614	703253	OTHER
ES984615	703253	OTHER
ES984616	703253	OTHER
ES984617	703253	OTHER
ES984618	703253	OTHER
ES984619	703253	OTHER
ES984620	703253	OTHER
ES984621	703253	OTHER
ES984622	703253	OTHER
ES984623	703253	OTHER
ES984624	703253	OTHER
ES984625	703253	OTHER
ES984626	703253	OTHER
ES984627	703253	OTHER
ES984628	703253	OTHER
ES984629	703253	OTHER
ES984630	703253	OTHER
ES984631	703253	OTHER
ES984632	703253	OTHER
ES984633	703253	OTHER
ES984634	703253	OTHER
ES984635	703253	OTHER
ES984636	703253	OTHER
ES984637	703253	OTHER
ES984638	703253	OTHER
ES984639	703253	OTHER
ES984640	703253	OTHER
ES984641	703253	OTHER
ES984642	703253	OTHER
ES984643	703253	OTHER
ES984644	703253	OTHER
ES984645	703253	OTHER
ES984646	703253	OTHER
ES984647	703253	OTHER
ES984648	703253	OTHER
ES984649	703253	OTHER
ES984650	703253	OTHER
ES984651	703253	OTHER
ES984652	703253	OTHER
ES984653	703253	OTHER
ES984654	703253	OTHER
