EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES984552	ESR16593
ES984553	ESR16593
ES984554	ESR16593
ES984555	ESR16593
ES984556	ESR16593
ES984557	ESR16593
ES984558	ESR16593
ES984559	ESR16593
ES984560	ESR16593
ES984561	ESR16593
ES984562	ESR16593
ES984563	ESR16593
ES984564	ESR16593
ES984565	ESR16593
ES984566	ESR16593
ES984567	ESR16593
ES984568	ESR16593
ES984569	ESR16593
ES984570	ESR16593
ES984571	ESR16593
ES984572	ESR16593
ES984573	ESR16593
ES984574	ESR16593
ES984575	ESR16593
ES984576	ESR16593
ES984577	ESR16593
ES984578	ESR16593
ES984579	ESR16593
ES984580	ESR16593
ES984581	ESR16593
ES984582	ESR16593
ES984583	ESR16593
ES984584	ESR16593
ES984585	ESR16593
ES984586	ESR16593
ES984587	ESR16593
ES984588	ESR16593
ES984589	ESR16593
ES984590	ESR16593
ES984591	ESR16593
ES984592	ESR16593
ES984593	ESR16593
ES984594	ESR16593
ES984595	ESR16593
ES984596	ESR16593
ES984597	ESR16593
ES984598	ESR16593
ES984599	ESR16593
ES984600	ESR16593
ES984601	ESR16593
ES984602	ESR16593
ES984603	ESR16593
ES984604	ESR16593
ES984605	ESR16593
ES984606	ESR16593
ES984607	ESR16593
ES984608	ESR16593
ES984609	ESR16593
ES984610	ESR16593
ES984611	ESR16593
ES984612	ESR16593
ES984613	ESR16593
ES984614	ESR16593
ES984615	ESR16593
ES984616	ESR16593
ES984617	ESR16593
ES984618	ESR16593
ES984619	ESR16593
ES984620	ESR16593
ES984621	ESR16593
ES984622	ESR16593
ES984623	ESR16593
ES984624	ESR16593
ES984625	ESR16593
ES984626	ESR16593
ES984627	ESR16593
ES984628	ESR16593
ES984629	ESR16593
ES984630	ESR16593
ES984631	ESR16593
ES984632	ESR16593
ES984633	ESR16593
ES984634	ESR16593
ES984635	ESR16593
ES984636	ESR16593
ES984637	ESR16593
ES984638	ESR16593
ES984639	ESR16593
ES984640	ESR16593
ES984641	ESR16593
ES984642	ESR16593
ES984643	ESR16593
ES984644	ESR16593
ES984645	ESR16593
ES984646	ESR16593
ES984647	ESR16593
ES984648	ESR16593
ES984649	ESR16593
ES984650	ESR16593
ES984651	ESR16593
ES984652	ESR16593
ES984653	ESR16593
ES984654	ESR16593
ES984655	ESR16593
ES984656	ESR16593
ES984657	ESR16593
ES984658	ESR16593
ES984659	ESR16593
ES984660	ESR16593
ES984661	ESR16593
ES984662	ESR16593
ES984663	ESR16593
ES984664	ESR16593
ES984665	ESR16593
ES984666	ESR16593
ES984667	ESR16593
ES984668	ESR16593
ES984669	ESR16593
ES984670	ESR16593
ES984671	ESR16593
ES984672	ESR16593
ES984673	ESR16593
ES984674	ESR16593
ES984675	ESR16593
ES984676	ESR16593
ES984677	ESR16593
ES984678	ESR16593
ES984679	ESR16593
ES984680	ESR16593
ES984681	ESR16593
ES984682	ESR16593
ES984683	ESR16593
ES984684	ESR16593
ES984685	ESR16593
ES984686	ESR16593
ES984687	ESR16593
ES984688	ESR16593
ES984689	ESR16593
ES984690	ESR16593
ES984691	ESR16593
ES984692	ESR16593
ES984693	ESR16593
ES984694	ESR16593
ES984695	ESR16593
ES984696	ESR16593
ES984697	ESR16593
ES984698	ESR16593
ES984699	ESR16593
ES984700	ESR16593
ES984701	ESR16593
ES984702	ESR16593
ES984703	ESR16593
ES984704	ESR16593
ES984705	ESR16593
ES984706	ESR16593
ES984707	ESR16593
ES984708	ESR16593
ES984709	ESR16593
ES984710	ESR16593
ES984711	ESR16593
ES984712	ESR16593
ES984713	ESR16593
ES984714	ESR16593
ES984715	ESR16593
ES984716	ESR16593
ES984717	ESR16593
ES984718	ESR16593
ES984719	ESR16593
ES984720	ESR16593
ES984721	ESR16593
ES984722	ESR16593
ES984723	ESR16593
ES984724	ESR16593
ES984725	ESR16593
ES984726	ESR16593
ES984727	ESR16593
ES984728	ESR16593
ES984729	ESR16593
ES984730	ESR16593
ES984731	ESR16593
ES984732	ESR16593
ES984733	ESR16593
ES984734	ESR16593
ES984735	ESR16593
ES984736	ESR16593
ES984737	ESR16593
ES984738	ESR16593
ES984739	ESR16593
ES984740	ESR16593
ES984741	ESR16593
ES984742	ESR16593
ES984743	ESR16593
ES984744	ESR16593
ES984745	ESR16593
ES984746	ESR16593
ES984747	ESR16593
ES984748	ESR16593
ES984749	ESR16593
ES984750	ESR16593
ES984751	ESR16593
ES984752	ESR16593
ES984753	ESR16593
ES984754	ESR16593
ES984755	ESR16593
ES984756	ESR16593
ES984757	ESR16593
ES984758	ESR16593
ES984759	ESR16593
ES984760	ESR16593
ES984761	ESR16593
ES984762	ESR16593
ES984763	ESR16593
ES984764	ESR16593
ES984765	ESR16593
ES984766	ESR16593
ES984767	ESR16593
ES984768	ESR16593
ES984769	ESR16593
ES984770	ESR16593
ES984771	ESR16593
ES984772	ESR16593
ES984773	ESR16593
ES984774	ESR16593
ES984775	ESR16593
ES984776	ESR16593
ES984777	ESR16593
ES984778	ESR16593
ES984779	ESR16593
ES984780	ESR16593
ES984781	ESR16593
ES984782	ESR16593
ES984783	ESR16593
ES984784	ESR16593
ES984785	ESR16593
ES984786	ESR16593
ES984787	ESR16593
ES984788	ESR16593
ES984789	ESR16593
ES984790	ESR16593
ES984791	ESR16593
ES984792	ESR16593
ES984793	ESR16593
ES984794	ESR16593
ES984795	ESR16593
ES984796	ESR16593
ES984797	ESR16593
ES984798	ESR16593
ES984799	ESR16593
ES984800	ESR16593
ES984801	ESR16593
ES984802	ESR16593
ES984803	ESR16593
ES984804	ESR16593
ES984805	ESR16593
ES984806	ESR16593
ES984807	ESR16593
ES984808	ESR16593
ES984809	ESR16593
ES984810	ESR16593
ES984811	ESR16593
ES984812	ESR16593
ES984813	ESR16593
ES984814	ESR16593
ES984815	ESR16593
ES984816	ESR16593
ES984817	ESR16593
ES984818	ESR16593
ES984819	ESR16593
ES984820	ESR16593
ES984821	ESR16593
ES984822	ESR16593
ES984823	ESR16593
ES984824	ESR16593
ES984825	ESR16593
ES984826	ESR16593
ES984827	ESR16593
ES984828	ESR16593
ES984829	ESR16593
ES984830	ESR16593
ES984831	ESR16593
ES984832	ESR16593
ES984833	ESR16593
ES984834	ESR16593
ES984835	ESR16593
ES984836	ESR16593
ES984837	ESR16593
ES984838	ESR16593
ES984839	ESR16593
ES984840	ESR16593
ES984841	ESR16593
ES984842	ESR16593
ES984843	ESR16593
ES984844	ESR16593
ES984845	ESR16593
ES984846	ESR16593
ES984847	ESR16593
ES984848	ESR16593
ES984849	ESR16593
ES984850	ESR16593
ES984851	ESR16593
ES984852	ESR16593
ES984853	ESR16593
ES984854	ESR16593
ES984855	ESR16593
ES984856	ESR16593
ES984857	ESR16593
ES984858	ESR16593
ES984859	ESR16593
ES984860	ESR16593
ES984861	ESR16593
ES984862	ESR16593
ES984863	ESR16593
ES984864	ESR16593
ES984865	ESR16593
ES984866	ESR16593
ES984867	ESR16593
ES984868	ESR16593
ES984869	ESR16593
ES984870	ESR16593
ES984871	ESR16593
ES984872	ESR16593
ES984873	ESR16593
ES984874	ESR16593
ES984875	ESR16593
ES984876	ESR16593
ES984877	ESR16593
ES984878	ESR16593
ES984879	ESR16593
ES984880	ESR16593
ES984881	ESR16593
ES984882	ESR16593
ES984883	ESR16593
ES984884	ESR16593
ES984885	ESR16593
ES984886	ESR16593
ES984887	ESR16593
ES984888	ESR16593
ES984889	ESR16593
ES984890	ESR16593
ES984891	ESR16593
ES984892	ESR16593
ES984893	ESR16593
ES984894	ESR16593
ES984895	ESR16593
ES984896	ESR16593
ES984897	ESR16593
ES984898	ESR16593
ES984899	ESR16593
ES984900	ESR16593
ES984901	ESR16593
ES984902	ESR16593
ES984903	ESR16593
ES984904	ESR16593
ES984905	ESR16593
ES984906	ESR16593
ES984907	ESR16593
ES984908	ESR16593
ES984909	ESR16593
ES984910	ESR16593
ES984911	ESR16593
ES984912	ESR16593
ES984913	ESR16593
ES984914	ESR16593
ES984915	ESR16593
ES984916	ESR16593
ES984917	ESR16593
ES984918	ESR16593
ES984919	ESR16593
ES984920	ESR16593
ES984921	ESR16593
ES984922	ESR16593
ES984923	ESR16593
ES984924	ESR16593
ES984925	ESR16593
ES984926	ESR16593
ES984927	ESR16593
ES984928	ESR16593
ES984929	ESR16593
ES984930	ESR16593
ES984931	ESR16593
ES984932	ESR16593
ES984933	ESR16593
ES984934	ESR16593
ES984935	ESR16593
ES984936	ESR16593
ES984937	ESR16593
ES984938	ESR16593
ES984939	ESR16593
ES984940	ESR16593
ES984941	ESR16593
ES984942	ESR16593
ES984943	ESR16593
ES984944	ESR16593
ES984945	ESR16593
ES984946	ESR16593
ES984947	ESR16593
ES984948	ESR16593
ES984949	ESR16593
ES984950	ESR16593
ES984951	ESR16593
ES984952	ESR16593
ES984953	ESR16593
ES984954	ESR16593
ES984955	ESR16593
ES984956	ESR16593
ES984957	ESR16593
ES984958	ESR16593
ES984959	ESR16593
ES984960	ESR16593
ES984961	ESR16593
ES984962	ESR16593
ES984963	ESR16593
ES984964	ESR16593
ES984965	ESR16593
ES984966	ESR16593
ES984967	ESR16593
ES984968	ESR16593
ES984969	ESR16593
ES984970	ESR16593
ES984971	ESR16593
ES984972	ESR16593
ES984973	ESR16593
ES984974	ESR16593
ES984975	ESR16593
ES984976	ESR16593
ES984977	ESR16593
ES984978	ESR16593
ES984979	ESR16593
ES984980	ESR16593
ES984981	ESR16593
ES984982	ESR16593
ES984983	ESR16593
ES984984	ESR16593
ES984985	ESR16593
ES984986	ESR16593
ES984987	ESR16593
ES984988	ESR16593
ES984989	ESR16593
ES984990	ESR16593
ES984991	ESR16593
ES984992	ESR16593
ES997493	ESR16720
ES997493	ESR16722
ES997493	ESR16724
ES997493	ESR16726
ES997493	ESR16728
ES997493	ESR16729
ES997493	ESR16730
ES997493	ESR16738
ES997493	ESR16743
ES997493	ESR16745
ES997493	ESR16747
ES997493	ESR16748
ES997493	ESR16749
ES997494	ESR16718
ES997494	ESR16721
ES997494	ESR16723
ES997494	ESR16727
ES997494	ESR16734
ES997494	ESR16741
ES997494	ESR16742
ES997494	ESR16744
ES997494	ESR16745
ES997494	ESR16746
ES997494	ESR16747
ES997494	ESR16748
ES997494	ESR16750
ES997495	ESR16715
ES997495	ESR16716
ES997495	ESR16719
ES997495	ESR16725
ES997495	ESR16739
ES997495	ESR16742
ES997495	ESR16744
ES997495	ESR16745
ES997495	ESR16746
ES997495	ESR16747
ES997495	ESR16751
ES997496	ESR16717
ES997496	ESR16731
ES997496	ESR16732
ES997496	ESR16733
ES997496	ESR16735
ES997496	ESR16736
ES997496	ESR16737
ES997496	ESR16740
ES997496	ESR16743
ES997496	ESR16747
ES997496	ESR16752
ES997497	ESR16720
ES997497	ESR16722
ES997497	ESR16724
ES997497	ESR16726
ES997497	ESR16728
ES997497	ESR16729
ES997497	ESR16730
ES997497	ESR16738
ES997497	ESR16743
ES997497	ESR16745
ES997497	ESR16747
ES997497	ESR16748
ES997497	ESR16749
ES997498	ESR16718
ES997498	ESR16721
ES997498	ESR16723
ES997498	ESR16727
ES997498	ESR16734
ES997498	ESR16741
ES997498	ESR16742
ES997498	ESR16744
ES997498	ESR16745
ES997498	ESR16746
ES997498	ESR16747
ES997498	ESR16748
ES997498	ESR16750
ES997499	ESR16715
ES997499	ESR16716
ES997499	ESR16719
ES997499	ESR16725
ES997499	ESR16739
ES997499	ESR16742
ES997499	ESR16744
ES997499	ESR16745
ES997499	ESR16746
ES997499	ESR16747
ES997499	ESR16751
ES997500	ESR16717
ES997500	ESR16731
ES997500	ESR16732
ES997500	ESR16733
ES997500	ESR16735
ES997500	ESR16736
ES997500	ESR16737
ES997500	ESR16740
ES997500	ESR16743
ES997500	ESR16747
ES997500	ESR16752
ES997501	ESR16720
ES997501	ESR16722
ES997501	ESR16724
ES997501	ESR16726
ES997501	ESR16728
ES997501	ESR16729
ES997501	ESR16730
ES997501	ESR16738
ES997501	ESR16743
ES997501	ESR16745
ES997501	ESR16747
ES997501	ESR16748
ES997501	ESR16749
ES997502	ESR16718
ES997502	ESR16721
ES997502	ESR16723
ES997502	ESR16727
ES997502	ESR16734
ES997502	ESR16741
ES997502	ESR16742
ES997502	ESR16744
ES997502	ESR16745
ES997502	ESR16746
ES997502	ESR16747
ES997502	ESR16748
ES997502	ESR16750
ES997503	ESR16715
ES997503	ESR16716
ES997503	ESR16719
ES997503	ESR16725
ES997503	ESR16739
ES997503	ESR16742
ES997503	ESR16744
ES997503	ESR16745
ES997503	ESR16746
