EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES984552	TRT2061
ES984553	TRT2061
ES984554	TRT2061
ES984555	TRT2061
ES984556	TRT2061
ES984557	TRT2061
ES984558	TRT2061
ES984559	TRT2061
ES984560	TRT2061
ES984561	TRT2061
ES984562	TRT2061
ES984563	TRT2061
ES984564	TRT2061
ES984565	TRT2061
ES984566	TRT2061
ES984567	TRT2061
ES984568	TRT2061
ES984569	TRT2061
ES984570	TRT2061
ES984571	TRT2061
ES984572	TRT2061
ES984573	TRT2061
ES984574	TRT2061
ES984575	TRT2061
ES984576	TRT2061
ES984577	TRT2061
ES984578	TRT2061
ES984579	TRT2061
ES984580	TRT2061
ES984581	TRT2061
ES984582	TRT2061
ES984583	TRT2061
ES984584	TRT2061
ES984585	TRT2061
ES984586	TRT2061
ES984587	TRT2061
ES984588	TRT2061
ES984589	TRT2061
ES984590	TRT2061
ES984591	TRT2061
ES984592	TRT2061
ES984593	TRT2061
ES984594	TRT2061
ES984595	TRT2061
ES984596	TRT2061
ES984597	TRT2061
ES984598	TRT2061
ES984599	TRT2061
ES984600	TRT2061
ES984601	TRT2061
ES984602	TRT2061
ES984603	TRT2061
ES984604	TRT2061
ES984605	TRT2061
ES984606	TRT2061
ES984607	TRT2061
ES984608	TRT2061
ES984609	TRT2061
ES984610	TRT2061
ES984611	TRT2061
ES984612	TRT2061
ES984613	TRT2061
ES984614	TRT2061
ES984615	TRT2061
ES984616	TRT2061
ES984617	TRT2061
ES984618	TRT2061
ES984619	TRT2061
ES984620	TRT2061
ES984621	TRT2061
ES984622	TRT2061
ES984623	TRT2061
ES984624	TRT2061
ES984625	TRT2061
ES984626	TRT2061
ES984627	TRT2061
ES984628	TRT2061
ES984629	TRT2061
ES984630	TRT2061
ES984631	TRT2061
ES984632	TRT2061
ES984633	TRT2061
ES984634	TRT2061
ES984635	TRT2061
ES984636	TRT2061
ES984637	TRT2061
ES984638	TRT2061
ES984639	TRT2061
ES984640	TRT2061
ES984641	TRT2061
ES984642	TRT2061
ES984643	TRT2061
ES984644	TRT2061
ES984645	TRT2061
ES984646	TRT2061
ES984647	TRT2061
ES984648	TRT2061
ES984649	TRT2061
ES984650	TRT2061
ES984651	TRT2061
ES984652	TRT2061
ES984653	TRT2061
ES984654	TRT2061
ES984655	TRT2061
ES984656	TRT2061
ES984657	TRT2061
ES984658	TRT2061
ES984659	TRT2061
ES984660	TRT2061
ES984661	TRT2061
ES984662	TRT2061
ES984663	TRT2061
ES984664	TRT2061
ES984665	TRT2061
ES984666	TRT2061
ES984667	TRT2061
ES984668	TRT2061
ES984669	TRT2061
ES984670	TRT2061
ES984671	TRT2061
ES984672	TRT2061
ES984673	TRT2061
ES984674	TRT2061
ES984675	TRT2061
ES984676	TRT2061
ES984677	TRT2061
ES984678	TRT2061
ES984679	TRT2061
ES984680	TRT2061
ES984681	TRT2061
ES984682	TRT2061
ES984683	TRT2061
ES984684	TRT2061
ES984685	TRT2061
ES984686	TRT2061
ES984687	TRT2061
ES984688	TRT2061
ES984689	TRT2061
ES984690	TRT2061
ES984691	TRT2061
ES984692	TRT2061
ES984693	TRT2061
ES984694	TRT2061
ES984695	TRT2061
ES984696	TRT2061
ES984697	TRT2061
ES984698	TRT2061
ES984699	TRT2061
ES984700	TRT2061
ES984701	TRT2061
ES984702	TRT2061
ES984703	TRT2061
ES984704	TRT2061
ES984705	TRT2061
ES984706	TRT2061
ES984707	TRT2061
ES984708	TRT2061
ES984709	TRT2061
ES984710	TRT2061
ES984711	TRT2061
ES984712	TRT2061
ES984713	TRT2061
ES984714	TRT2061
ES984715	TRT2061
ES984716	TRT2061
ES984717	TRT2061
ES984718	TRT2061
ES984719	TRT2061
ES984720	TRT2061
ES984721	TRT2061
ES984722	TRT2061
ES984723	TRT2061
ES984724	TRT2061
ES984725	TRT2061
ES984726	TRT2061
ES984727	TRT2061
ES984728	TRT2061
ES984729	TRT2061
ES984730	TRT2061
ES984731	TRT2061
ES984732	TRT2061
ES984733	TRT2061
ES984734	TRT2061
ES984735	TRT2061
ES984736	TRT2061
ES984737	TRT2061
ES984738	TRT2061
ES984739	TRT2061
ES984740	TRT2061
ES984741	TRT2061
ES984742	TRT2061
ES984743	TRT2061
ES984744	TRT2061
ES984745	TRT2061
ES984746	TRT2061
ES984747	TRT2061
ES984748	TRT2061
ES984749	TRT2061
ES984750	TRT2061
ES984751	TRT2061
ES984752	TRT2061
ES984753	TRT2061
ES984754	TRT2061
ES984755	TRT2061
ES984756	TRT2061
ES984757	TRT2061
ES984758	TRT2061
ES984759	TRT2061
ES984760	TRT2061
ES984761	TRT2061
ES984762	TRT2061
ES984763	TRT2061
ES984764	TRT2061
ES984765	TRT2061
ES984766	TRT2061
ES984767	TRT2061
ES984768	TRT2061
ES984769	TRT2061
ES984770	TRT2061
ES984771	TRT2061
ES984772	TRT2061
ES984773	TRT2061
ES984774	TRT2061
ES984775	TRT2061
ES984776	TRT2061
ES984777	TRT2061
ES984778	TRT2061
ES984779	TRT2061
ES984780	TRT2061
ES984781	TRT2061
ES984782	TRT2061
ES984783	TRT2061
ES984784	TRT2061
ES984785	TRT2061
ES984786	TRT2061
ES984787	TRT2061
ES984788	TRT2061
ES984789	TRT2061
ES984790	TRT2061
ES984791	TRT2061
ES984792	TRT2061
ES984793	TRT2061
ES984794	TRT2061
ES984795	TRT2061
ES984796	TRT2061
ES984797	TRT2061
ES984798	TRT2061
ES984799	TRT2061
ES984800	TRT2061
ES984801	TRT2061
ES984802	TRT2061
ES984803	TRT2061
ES984804	TRT2061
ES984805	TRT2061
ES984806	TRT2061
ES984807	TRT2061
ES984808	TRT2061
ES984809	TRT2061
ES984810	TRT2061
