FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
217575	3	SSC	SSC-A	SSC	SSC-A
217575	11		Alexa Fluor 700-A	hCD3E, hCD14	CD3/CD14
217576	2		FSC-H		FSC-H
217576	7		ECD-A	hCD2	CD2
217576	9		PE-Cy7-A	hCCR7	CCR7
217577	2		FSC-H		FSC-H
217577	3	SSC	SSC-A	SSC	SSC-A
217577	9		PE-Cy7-A	hCD1C	CD1c
217578	5		FITC-A	hCXCR5	CXCR5
217579	3	SSC	SSC-A	SSC	SSC-A
217579	4	SSC	SSC-H	SSC	SSC-H
217580	8		PE-Cy5-A	hCD40	CD40
217581	4	SSC	SSC-H	SSC	SSC-H
217581	10		APC-A	hTHBD	BDCA-3
217582	1		FSC-A		FSC-A
217582	7		ECD-A	hPTPRC/iso:h6	CD45RA
217583	1		FSC-A		FSC-A
217584	2		FSC-H		FSC-H
217584	5		FITC-A		CXC3CR1
217584	12		APC-H7-A	hFCGR3A	CD16
217584	13		Pacific Blue-A	hCD86	CD86
217585	2		FSC-H		FSC-H
217585	11		Alexa Fluor 700-A	hHLA-DRA	DR
217585	12		APC-H7-A	hITGAX	CD11c
217585	15		Time		Time
217586	1		FSC-A		FSC-A
217586	3	SSC	SSC-A	SSC	SSC-A
217586	14		Pacific Orange-A		VIVID
217587	13		Pacific Blue-A	hCD86	CD86
217587	15		Time		Time
217588	13		Pacific Blue-A	hCD86	CD86
217589	1		FSC-A		FSC-A
217589	5		FITC-A		LIN-1
217589	6		PE-A	hCLEC4C	BDCA-2
217589	9		PE-Cy7-A	hCD1C	CD1c
217589	12		APC-H7-A	hITGAX	CD11c
217591	1		FSC-A		FSC-A
217591	6		PE-A	hCD24	CD24
217591	11		Alexa Fluor 700-A	hCD3E, hCD14	CD3/CD14
217592	4	SSC	SSC-H	SSC	SSC-H
217592	11		Alexa Fluor 700-A	hHLA-DRA	DR
217592	13		Pacific Blue-A	hCD86	CD86
217596	4	SSC	SSC-H	SSC	SSC-H
217596	11		Alexa Fluor 700-A	hHLA-DRA	DR
217597	2		FSC-H		FSC-H
217597	9		PE-Cy7-A	hCD1C	CD1c
217598	2		FSC-H		FSC-H
217598	3	SSC	SSC-A	SSC	SSC-A
217598	4	SSC	SSC-H	SSC	SSC-H
217598	5		FITC-A	hCXCR5	CXCR5
217598	7		ECD-A	hPTPRC/iso:h6	CD45RA
217598	8		PE-Cy5-A	hCXCR3	CXCR3
217598	14		Pacific Orange-A		VIVID
217599	1		FSC-A		FSC-A
217599	9		PE-Cy7-A	hCD38	CD38
217600	2		FSC-H		FSC-H
