FILE_DETAILS_ID	REPORTED_MD5	GENERATED_MD5	STUDY_ACCESSION	FILESIZE_BYTES	FILE_TYPE	FILE_ACCESSION	FILE_NAME	PATH	DATE_FILE_UPDATED	AI_GENERATED_KEYWORDS	AI_GENERATED_SUMMARY	FILE_UUID	DRS_OBJECT_CREATED	WORKSPACE_ID
6634		f4647781d518d76b9e78a62644f0801a	SDY89	2463	study_file	SFL19714	StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.2799.SDY89.txt	SDY89/StudyFiles/StudyFile.Obsolete.Period.StudyGlossary.ID4633-34.2799.SDY89.txt	2021-04-12 09:46:18			781bc045-a573-4229-9d9a-5bc335776173	Y	2799
10880		d33d7b264fddb50bcdfee12999a67377	SDY89	321032	protocol_file	PTL5347	Project3_Study_Protocol.PTL5347.pdf	SDY89/Protocols/Project3_Study_Protocol.PTL5347.pdf	2016-02-05 12:05:26			311fe4e6-4fdb-4ed3-883c-f7c51029984c	Y	2799
11118		26ff5eb3f24e987983f90b61fc45aea1	SDY89	24802	protocol_file	PTL6593	SOP_Flow.PTL6593.docx	SDY89/Protocols/SOP_Flow.PTL6593.docx	2016-08-18 00:44:31			dcdc12f4-599a-4296-bd63-e9b7871277de	Y	2799
11119		3d883beab26d24e7ecce08185827c727	SDY89	49071	protocol_file	PTL6591	Study_Design_P3.PTL6591.pdf	SDY89/Protocols/Study_Design_P3.PTL6591.pdf	2016-08-18 00:44:31			04b4c534-9d65-4c32-8fdf-080a540c87b7	Y	2799
11120		27b9d5b13173b0c75eb31a6a1a20d64d	SDY89	36820	protocol_file	PTL6592	Microarray.PTL6592.docx	SDY89/Protocols/Microarray.PTL6592.docx	2016-08-18 00:44:31			394c5922-72db-4dd3-8ba2-ff4cc6c0e56b	Y	2799
345616		b771e73cd945f16f93c5244e7c591212	SDY89	26658315	result_file	570866	002_V1_051612_B cell.570866.fcs	SDY89/ResultFiles/Flow_cytometry_result/002_V1_051612_B cell.570866.fcs	2017-04-13 15:56:39			240be701-08cc-4420-ae2d-9c65bb7a7d6e	Y	2799
345617		21957cecb7b91428873e6029dfb7fa08	SDY89	54278710	result_file	570887	002_V1_051612_DC.570887.fcs	SDY89/ResultFiles/Flow_cytometry_result/002_V1_051612_DC.570887.fcs	2017-04-13 15:56:39			290c1285-3649-4a7e-b36e-8254379a287f	Y	2799
345618		8053bc5b7700311db7197dfe6189ca75	SDY89	53265738	result_file	570886	002_V1_051612_Mono.570886.fcs	SDY89/ResultFiles/Flow_cytometry_result/002_V1_051612_Mono.570886.fcs	2017-04-13 15:56:39			4aea5d8d-9ecb-403a-8b74-5e729080a4d1	Y	2799
345619		0cb92fd5e3f70e7fc26039ca2605656f	SDY89	24920769	result_file	570888	002_V1_051612_TFH.570888.fcs	SDY89/ResultFiles/Flow_cytometry_result/002_V1_051612_TFH.570888.fcs	2017-04-13 15:56:39			c159f133-18c7-44be-a062-4487f8d50359	Y	2799
345620		e352f5c5adc6e78f8d4af391431fbc5a	SDY89	16400657	result_file	570889	002_V2_051612_Tube_001.570889.fcs	SDY89/ResultFiles/Flow_cytometry_result/002_V2_051612_Tube_001.570889.fcs	2017-04-13 15:56:39			4eeb7dc5-7c38-4d18-aef5-8ce09b632639	Y	2799
345621		950fbff7bf290e305bae8a62e9dd1764	SDY89	37196962	result_file	570890	002_V2_051612_Tube_002.570890.fcs	SDY89/ResultFiles/Flow_cytometry_result/002_V2_051612_Tube_002.570890.fcs	2017-04-13 15:56:39			e9b67d0e-e8e8-4ea1-8d9f-ec92796b0733	Y	2799
345622		e056b4b5d4234f7c8c9673f99ca22c65	SDY89	37476676	result_file	570891	002_V2_051612_Tube_003.570891.fcs	SDY89/ResultFiles/Flow_cytometry_result/002_V2_051612_Tube_003.570891.fcs	2017-04-13 15:56:39			0644b096-145e-419c-a3bc-ebbf84387bca	Y	2799
345623		188bf6650a9b21058bdf0a194953c173	SDY89	10741994	result_file	570892	002_V2_051612_Tube_004.570892.fcs	SDY89/ResultFiles/Flow_cytometry_result/002_V2_051612_Tube_004.570892.fcs	2017-04-13 15:56:39			f3e01dc6-938f-42da-a7f6-43a7765acd86	Y	2799
345624		633f430072e2280679256f99844e5980	SDY89	22345277	result_file	570893	002_V3_051612_Tube_001.570893.fcs	SDY89/ResultFiles/Flow_cytometry_result/002_V3_051612_Tube_001.570893.fcs	2017-04-13 15:56:39			ddb655d0-6b28-4205-8634-949096c1dc87	Y	2799
345625		8f53e07fa23f1612ec0482834c579fdc	SDY89	44032462	result_file	570894	002_V3_051612_Tube_002.570894.fcs	SDY89/ResultFiles/Flow_cytometry_result/002_V3_051612_Tube_002.570894.fcs	2017-04-13 15:56:39			909a2502-4dea-41b3-9fb8-e81b71a29d66	Y	2799
345626		dc4377f07dae450f1b5d686b63f06ef9	SDY89	42826636	result_file	570895	002_V3_051612_Tube_003.570895.fcs	SDY89/ResultFiles/Flow_cytometry_result/002_V3_051612_Tube_003.570895.fcs	2017-04-13 15:56:39			e8116823-0f51-4d82-a427-317d419d52aa	Y	2799
345627		3a8fa71dda0de25da0d815134b790b2a	SDY89	17285174	result_file	570896	002_V3_051612_Tube_004.570896.fcs	SDY89/ResultFiles/Flow_cytometry_result/002_V3_051612_Tube_004.570896.fcs	2017-04-13 15:56:39			ffe04cdc-f758-4d2b-a422-1afc9fa0fead	Y	2799
345628		364e6712573c9b055a6ddbec91496c9e	SDY89	14918897	result_file	570897	002_V4_051612_Tube_001.570897.fcs	SDY89/ResultFiles/Flow_cytometry_result/002_V4_051612_Tube_001.570897.fcs	2017-04-13 15:56:39			f6a22b0c-bbf9-4c77-a771-91bd270cc02f	Y	2799
345629		96c90becd2aa17f9e512a0869862d987	SDY89	34182202	result_file	570898	002_V4_051612_Tube_002.570898.fcs	SDY89/ResultFiles/Flow_cytometry_result/002_V4_051612_Tube_002.570898.fcs	2017-04-13 15:56:39			0b2df06e-cf75-406d-9b8c-a062e68bcaa4	Y	2799
345630		a19aedf5c43297404f763b2b5a3c4623	SDY89	34313236	result_file	570899	002_V4_051612_Tube_003.570899.fcs	SDY89/ResultFiles/Flow_cytometry_result/002_V4_051612_Tube_003.570899.fcs	2017-04-13 15:56:39			44c2813a-4d68-459f-b007-f0138b31cc42	Y	2799
345631		612ae2a9b45983c2a23d0ff587ca4eed	SDY89	15463214	result_file	570900	002_V4_051612_Tube_004.570900.fcs	SDY89/ResultFiles/Flow_cytometry_result/002_V4_051612_Tube_004.570900.fcs	2017-04-13 15:56:39			1df014cc-8194-4011-95cc-a870c00be1f4	Y	2799
345632		f3086e8d3f6026d74e8785d91a847b86	SDY89	20578818	result_file	570901	002_V5_051612_Tube_001.570901.fcs	SDY89/ResultFiles/Flow_cytometry_result/002_V5_051612_Tube_001.570901.fcs	2017-04-13 15:56:39			d1481e05-0d1e-4dbd-8bbe-f9eb9879c8e4	Y	2799
345633		cba336ab90422439c09491d8e54926f1	SDY89	38087783	result_file	570902	002_V5_051612_Tube_002.570902.fcs	SDY89/ResultFiles/Flow_cytometry_result/002_V5_051612_Tube_002.570902.fcs	2017-04-13 15:56:39			b3b7012e-3e49-4e25-9182-cf6e04ec9202	Y	2799
345634		9d636e942d507327c1c3892753980aff	SDY89	39205337	result_file	570903	002_V5_051612_Tube_003.570903.fcs	SDY89/ResultFiles/Flow_cytometry_result/002_V5_051612_Tube_003.570903.fcs	2017-04-13 15:56:39			9df17adf-096d-447d-b095-ef0e51bdf94b	Y	2799
