FILE_INFO_ID	DETAIL	FILESIZE_BYTES	NAME	ORIGINAL_FILE_NAME	WORKSPACE_ID
570866	Flow cytometry result	26658315	002_V1_051612_B cell.570866.fcs	002_V1_051612_B cell.fcs	2799
570867	Flow cytometry compensation or control	1051230	CST_051612_LOT#18360.570867.fcs	CST_051612_LOT#18360.fcs	2799
570868	Flow cytometry compensation or control	303069	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_Unstained Control.570868.fcs	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_Unstained Control.fcs	2799
570869	Flow cytometry compensation or control	303092	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_IgD FITC Stained Control.570869.fcs	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_IgD FITC Stained Control.fcs	2799
570870	Flow cytometry compensation or control	303092	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD14 PE Stained Control.570870.fcs	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD14 PE Stained Control.fcs	2799
570871	Flow cytometry compensation or control	303094	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD19 ECD Stained Control.570871.fcs	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD19 ECD Stained Control.fcs	2799
570872	Flow cytometry compensation or control	303099	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD20 PE-Cy5 Stained Control.570872.fcs	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD20 PE-Cy5 Stained Control.fcs	2799
570873	Flow cytometry compensation or control	303100	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD40 PE-Cy5 Stained Control.570873.fcs	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD40 PE-Cy5 Stained Control.fcs	2799
570874	Flow cytometry compensation or control	303104	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CXCR3 PE-Cy5 Stained Control.570874.fcs	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CXCR3 PE-Cy5 Stained Control.fcs	2799
570875	Flow cytometry compensation or control	303099	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD38 PE-Cy7 Stained Control.570875.fcs	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD38 PE-Cy7 Stained Control.fcs	2799
570876	Flow cytometry compensation or control	303099	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD1c PE-Cy7 Stained Control.570876.fcs	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD1c PE-Cy7 Stained Control.fcs	2799
570877	Flow cytometry compensation or control	303091	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD8 APC Stained Control.570877.fcs	ExVivo_PBMC_Phenotyping_PT2--Compensation Controls_CD8 APC Stained Control.fcs	2799
