NAME	DISEASE_ONTOLOGY_ID	DESCRIPTION	LINK	HUMAN_PHENOTYPE_ID
epidermolysis bullosa	DOID:2730	A vesiculobullous skin disease that is characterized by formation of blisters with only minor skin trauma, which can cause widespread wounds, dehydration, electrolyte abnormalities, and severe infection, frequently develops_from mutations in connective tissue elements, including genes encoding keratin, collagen, and laminin.	http://purl.obolibrary.org/obo/DOID_2730	
asthma	DOID:2841	A bronchial disease that is characterized by chronic inflammation and narrowing of the airways, which is caused by a combination of environmental and genetic factors. The disease has_symptom recurring periods of wheezing (a whistling sound while breathing), has_symptom chest tightness, has_symptom shortness of breath, has_symptom mucus production and has_symptom coughing.	http://purl.obolibrary.org/obo/DOID_2841	HP:0002099
chikungunya	DOID:0050012	A viral infectious disease that results_in infection located_in joint, has_material_basis_in Chikungunya virus, which is transmitted_by Aedes mosquito bite. The infection has_symptom fever, has_symptom arthralgia, and has_symptom maculopapular rash.	http://purl.obolibrary.org/obo/DOID_0050012	
hemoglobinopathy	DOID:2860	hemoglobinopathy	http://purl.obolibrary.org/obo/DOID_2860	
renal artery obstruction	DOID:2972	renal artery obstruction	http://purl.obolibrary.org/obo/DOID_2972	HP:0001920
antiphospholipid syndrome	DOID:2988	An autoimmune disease that is characterized by recurrent venous or arterial thrombosis and/or fetal losses associated with characteristic elevated levels of antibodies directed against membrane anionic phospholipids (anticardiolipin).	http://purl.obolibrary.org/obo/DOID_2988	
dengue disease	DOID:12205	A viral infectious disease that results in infection, has_material_basis_in Dengue virus [NCBITaxon:12637] with four serotypes (Dengue virus 1, 2, 3 and 4), which are transmitted by Aedes mosquito bite. The infection has symptom fever, has symptom severe headache, has symptom severe pain behind the eyes, has symptom joint pain, has symptom muscle and bone pain, has symptom rash, and has symptom mild bleeding.	http://purl.obolibrary.org/obo/DOID_12205	
substance abuse	DOID:302	A substance-related disorder that involves a maladaptive pattern of substance use leading to significant impairment in functioning.	http://purl.obolibrary.org/obo/DOID_302	
food allergy	DOID:3044	A hypersensitivity reaction type I disease that is an abnormal response to a food, triggered by the body's immune system.	http://purl.obolibrary.org/obo/DOID_3044	HP:0500093
chronic obstructive pulmonary disease	DOID:3083	An obstructive lung disease that is characterized by irreversible airflow obstruction due to chronic bronchitis, emphysema, and/or small airways disease.	http://purl.obolibrary.org/obo/DOID_3083	HP:0006510
proctitis	DOID:3127	A rectal disease that involves inflammation of the rectal mucosa, which results from infection, inflammatory bowel disease, or radiation. Sexually transmitted pathogens (Neisseria gonorrhoeae, Chlamydia trachomatis, herpes simplex virus 1 and 2, Treponema pallidum) and enteric pathogens (Campylobacter, Shigella, Salmonella) are involved in the disease. Symptoms are rectal discomfort and bleeding.	http://purl.obolibrary.org/obo/DOID_3127	
coronary artery disease	DOID:3393	An artery disease that is characterized by plaque building up along the inner walls of the arteries of the heart resulting in a narrowing of the arteries and a reduced blood supply to the cardiac muscles.	http://purl.obolibrary.org/obo/DOID_3393	HP:0001677
peripheral vascular disease	DOID:341	A vascular disease that is characterized by obstruction of larger arteries not within the coronary, aortic arch vasculature, or brain.	http://purl.obolibrary.org/obo/DOID_341	
mixed connective tissue disease	DOID:3492	A collagen disease that is considered an overlap of three diseases, systemic lupus erythematosus, scleroderma, and polymyositis with very high titers of circulating antinuclear antibody to a ribonucleoprotein antigen.	http://purl.obolibrary.org/obo/DOID_3492	
