PLANNED_VISIT_ACCESSION	END_RULE	MAX_START_DAY	MIN_START_DAY	NAME	ORDER_NUMBER	START_RULE	STUDY_ACCESSION	WORKSPACE_ID
PV1867		-21	-21	SCREENING	1		SDY89	2799
PV1868		0	0	VACCINATION1	2		SDY89	2799
PV1869		1	1	DAY1	3		SDY89	2799
PV1870		3	3	DAY3	4		SDY89	2799
PV1871		7	7	DAY7	5		SDY89	2799
PV1872		28	28	VACCINATION2	6		SDY89	2799
PV1873		29	29	DAY29	7		SDY89	2799
PV1874		31	31	DAY31	8		SDY89	2799
PV1875		35	35	DAY35	9		SDY89	2799
PV1876		56	56	DAY56	10		SDY89	2799
PV1877		168	168	VACCINATION3	11		SDY89	2799
PV1878		196	196	DAY196	12		SDY89	2799
