REAGENT_ACCESSION	ANALYTE_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ANTIBODY_REGISTRY_ID	CATALOG_NUMBER	CLONE_NAME	CONTACT	DESCRIPTION	IS_SET	LOT_NUMBER	MANUFACTURER	NAME	REPORTER_NAME	TYPE	WEBLINK	WORKSPACE_ID
ESR16593					BD-103-0204				N		Illumina	GX-BeadChip HT12v4		Other		2799
ESR16715	ANA870	BDCA2, CD303	BDCA2, CD303		130-090-511	BDCA-2			N		Miltenyi	BDCA-2	PE	Flow Cytometry		2799
ESR16716	ANA894	BDCA3	BDCA3		130-090-907	BDCA-3			N		Miltenyi	BDCA-3	APC	Flow Cytometry		2799
ESR16717	ANA36	CCR6	CCR6		559562	CCR6			N		BD Biosciences	CCR6	PE	Flow Cytometry		2799
ESR16718	ANA37	CCR7	CCR7		557648	CCR7			N		BD Biosciences	CCR7	PC7	Flow Cytometry		2799
ESR16719	ANA814	CD11c	CD11c		337217	CD11c			N		Biolegend	CD11c	APC-H7/APC-Cy7	Flow Cytometry		2799
ESR16720	ANA891	CD138	CD138		347207	CD138			N		BD Biosciences	CD138	APC	Flow Cytometry		2799
ESR16721	ANA804	CD14	CD14		347497	CD14			N		BD Biosciences	CD14	PE	Flow Cytometry		2799
ESR16722	ANA804	CD14	CD14		557923	CD14			N		BD Biosciences	CD14	PacOrange	Flow Cytometry		2799
ESR16723	ANA811	CD16	CD16		560195	CD16			N		BD Biosciences	CD16	APC-H7/APC-Cy7	Flow Cytometry		2799
ESR16724	ANA805	CD19	CD19		IM2708U	CD19			N		Beckman Coulter	CD19	ECD/PE-TR	Flow Cytometry		2799
ESR16725	ANA895	BDCA1	BDCA1		331515	CD1c			N		Biolegend	CD1c	PC7	Flow Cytometry		2799
ESR16726	ANA806	CD20	CD20		555624	CD20			N		BD Biosciences	CD20	PC5	Flow Cytometry		2799
ESR16727	ANA806	CD20	CD20		MHCD2030	CD20			N		Invitrogen	CD20	PacOrange	Flow Cytometry		2799
ESR16728	ANA807	CD24	CD24		555428	CD24			N		BD Biosciences	CD24	PE	Flow Cytometry		2799
ESR16729	ANA40	CD27	CD27		302816	CD27			N		Biolegend	CD27	APC-H7/APC-Cy7	Flow Cytometry		2799
ESR16730	ANA808	CD38	CD38		335790	CD38			N		BD Biosciences	CD38	PC7	Flow Cytometry		2799
ESR16731	ANA41	CD4	CD4		300518	CD4			N		Biolegend	CD4	APC-H7/APC-Cy7	Flow Cytometry		2799
ESR16732	ANA816	CD45RA	CD45RA		IM2711U	CD45RA			N		Beckman Coulter	CD45RA	ECD/PE-TR	Flow Cytometry		2799
ESR16733	ANA810	CD8	CD8		340584	CD8			N		BD Biosciences	CD8	APC	Flow Cytometry		2799
ESR16734	ANA59	CCRL1	CCRL1		341606	CX3CR1			N		Biolegend	CX3CR1	FITC/A488	Flow Cytometry		2799
ESR16735	ANA76	CXCR3	CXCR3		551128	CXCR3			N		BD Biosciences	CXCR3	PC5	Flow Cytometry		2799
ESR16736	ANA78	CXCR5	CXCR5		558112	CXCR5			N		BD Biosciences	CXCR5	FITC/A488	Flow Cytometry		2799
ESR16737	ANA898	CD278	CD278		313520	ICOS			N		Biolegend	ICOS	PC7	Flow Cytometry		2799
ESR16738	ANA813	IgD	IgD		555778	IgD			N		BD Biosciences	IgD	FITC/A488	Flow Cytometry		2799
ESR16739			Lin-1		340546	Lin-1			N		BD Biosciences	Lin-1	FITC/A488	Flow Cytometry		2799
ESR16740	ANA818	PD1	PD1		329919	PD-1			N		Biolegend	PD-1	PacBlue/V450/BV421	Flow Cytometry		2799
ESR16741	ANA906	SLAN	SLAN		130-093-031	SLAN			N		Miltenyi	SLAN	APC	Flow Cytometry		2799
ESR16742	ANA860	CD2	CD2		CD0217	CD2			N		Invitrogen	CD2	ECD/PE-TR	Flow Cytometry		2799
ESR16743	ANA809	CD3	CD3		557943	CD3			N		BD Biosciences	CD3	A700	Flow Cytometry		2799
ESR16744	ANA42	CD40	CD40		555590	CD40			N		BD Biosciences	CD40	PC5	Flow Cytometry		2799
ESR16745	ANA868	B7-2	B7-2		560357	CD86			N		BD Biosciences	CD86	PacBlue/V450/BV421	Flow Cytometry		2799
ESR16746	ANA812	HLADR	HLADR		327014	HLA-DR			N		Biolegend	HLA-DR	A700	Flow Cytometry		2799
ESR16747			VIVID		L34959	VIVID			N		Invitrogen	VIVID	PacOrange	Flow Cytometry		2799
ESR16748	ANA809	CD3	CD3		CD0330	CD3			N		Invitrogen	CD3	PacOrange	Flow Cytometry		2799
ESR16749								B cell panel	Y			B cell panel		Flow Cytometry		2799
ESR16750								Monocyte panel	Y			Monocyte panel		Flow Cytometry		2799
ESR16751								D cell panel	Y			D cell panel		Flow Cytometry		2799
ESR16752								TFH panel	Y			TFH panel		Flow Cytometry		2799
