REAGENT_SET_ACCESSION	REAGENT_ACCESSION	WORKSPACE_ID
ESR16749	ESR16720	2799
ESR16749	ESR16722	2799
ESR16749	ESR16724	2799
ESR16749	ESR16726	2799
ESR16749	ESR16728	2799
ESR16749	ESR16729	2799
ESR16749	ESR16730	2799
ESR16749	ESR16738	2799
ESR16749	ESR16743	2799
ESR16749	ESR16745	2799
ESR16749	ESR16747	2799
ESR16749	ESR16748	2799
ESR16750	ESR16718	2799
ESR16750	ESR16721	2799
ESR16750	ESR16723	2799
ESR16750	ESR16727	2799
ESR16750	ESR16734	2799
ESR16750	ESR16741	2799
ESR16750	ESR16742	2799
ESR16750	ESR16744	2799
ESR16750	ESR16745	2799
ESR16750	ESR16746	2799
ESR16750	ESR16747	2799
ESR16750	ESR16748	2799
ESR16751	ESR16715	2799
ESR16751	ESR16716	2799
ESR16751	ESR16719	2799
ESR16751	ESR16725	2799
ESR16751	ESR16739	2799
ESR16751	ESR16742	2799
ESR16751	ESR16744	2799
ESR16751	ESR16745	2799
ESR16751	ESR16746	2799
ESR16751	ESR16747	2799
ESR16752	ESR16717	2799
ESR16752	ESR16731	2799
ESR16752	ESR16732	2799
ESR16752	ESR16733	2799
ESR16752	ESR16735	2799
ESR16752	ESR16736	2799
ESR16752	ESR16737	2799
ESR16752	ESR16740	2799
ESR16752	ESR16743	2799
ESR16752	ESR16747	2799
