sdy_id	tab_zip_path	parsed_successfully	geo_linked_sample_count	has_study_link	study_link_targets	ready	reason
SDY89	/Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY89/SDY89-DR58_Tab.zip	False	0	True	ClinicalTrials.gov -> https://clinicaltrials.gov/ct2/show/NCT02117934	False	ImmPort sample-link parse failed: Required ImmPort table is missing from /Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY89/SDY89-DR58_Tab.zip: expsample_public_repository.txt
SDY690	/Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY690/SDY690-DR58_Tab.zip	False	0	True	NA -> NA	False	ImmPort sample-link parse failed: Required ImmPort table is missing from /Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY690/SDY690-DR58_Tab.zip: expsample_public_repository.txt
SDY816	/Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY816/SDY816-DR58_Tab.zip	False	0	True	NA -> NA	False	ImmPort sample-link parse failed: Required ImmPort table is missing from /Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY816/SDY816-DR58_Tab.zip: expsample_public_repository.txt
SDY299	/Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY299/SDY299-DR58_Tab.zip	True	75	True	ClinicalTrials.gov -> https://clinicaltrials.gov/ct2/show/NCT02117934	True	75 GEO-linked sample(s) in the parsed sample manifest
SDY2312	/Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY2312/SDY2312-DR58_Tab.zip	True	84	False		True	84 GEO-linked sample(s) in the parsed sample manifest
SDY1328	/Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY1328/SDY1328-DR58_Tab.zip	True	342	True	ClinicalTrials.gov -> https://clinicaltrials.gov/ct2/show/NCT01119703; Gene Expression Omnibus -> https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65834	True	342 GEO-linked sample(s) in the parsed sample manifest
SDY1538	/Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY1538/SDY1538-DR58_Tab.zip	True	2673	True	ClinicalTrials.gov -> https://clinicaltrials.gov/ct2/show/NCT03246230	True	2673 GEO-linked sample(s) in the parsed sample manifest
SDY2584	/Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY2584/SDY2584-DR58_Tab.zip	True	218	False		True	218 GEO-linked sample(s) in the parsed sample manifest
SDY1412	/Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY1412/SDY1412-DR58_Tab.zip	True	50	True	NIH Clinical trial -> https://clinicaltrials.gov/ct2/show/NCT03246230; Project Report -> https://projectreporter.nih.gov/project_info_description.cfm?aid=9245969&icde=33437113	True	50 GEO-linked sample(s) in the parsed sample manifest
SDY2311	/Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY2311/SDY2311-DR62_Tab.zip	True	96	False		True	96 GEO-linked sample(s) in the parsed sample manifest
SDY1256	/Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY1256/SDY1256-DR58_Tab.zip	True	50	True	NIH Clinical trial -> https://clinicaltrials.gov/ct2/show/NCT03246230	True	50 GEO-linked sample(s) in the parsed sample manifest
SDY674	/Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY674/SDY674-DR58_Tab.zip	False	0	True	Clinicaltrials.gov -> https://www.clinicaltrials.gov/ct2/show/study/NCT00346151; Immune Tolerance Network Trialshare -> https://www.itntrialshare.org	False	ImmPort sample-link parse failed: Required ImmPort table is missing from /Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY674/SDY674-DR58_Tab.zip: experiment.txt
SDY2500	/Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY2500/SDY2500-DR58_Tab.zip	False	0	False		False	ImmPort sample-link parse failed: Required ImmPort table is missing from /Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY2500/SDY2500-DR58_Tab.zip: expsample_public_repository.txt
SDY671	/Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY671/SDY671-DR58_Tab.zip	False	0	True	Clinicaltrials.gov -> https://www.clinicaltrials.gov/ct2/show/record/NCT00078559; Immune Tolerance Network Trialshare -> https://www.itntrialshare.org	False	ImmPort sample-link parse failed: Required ImmPort table is missing from /Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY671/SDY671-DR58_Tab.zip: experiment.txt
SDY625	/Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY625/SDY625-DR58_Tab.zip	False	0	True	ClinicalTrials.gov -> https://clinicaltrials.gov/ct2/show/NCT00036491	False	ImmPort sample-link parse failed: Required ImmPort table is missing from /Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY625/SDY625-DR58_Tab.zip: experiment.txt
SDY3271	/Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY3271/SDY3271-DR59_Tab.zip	False	0	True	Clinicaltrials.gov -> https://clinicaltrials.gov/study/NCT00135694	False	ImmPort sample-link parse failed: Required ImmPort table is missing from /Users/msadeck/Desktop/hypothesis2omics/hepBtest/immport_cache/SDY3271/SDY3271-DR59_Tab.zip: experiment.txt
